scenario,slice,group,metric,block_dates,draws,mean_delta,ci_low,ci_high
no_same_day_receipt,currency,KGS,logloss,20,500,-0.009899048860398477,-0.017581939384291236,-0.0035781317979129397
no_same_day_receipt,currency,KGS,auc,20,500,0.06300562415799149,0.02098462700425781,0.1093677330872855
no_same_day_receipt,currency,KGS,brier,50,500,-0.0030496407120917573,-0.005300903740822101,-0.0009279228518067811
no_same_day_receipt,currency,KGS,logloss,50,500,-0.010191475342576506,-0.017755730554123137,-0.002906467246987928
no_same_day_receipt,currency,KGS,auc,50,500,0.06376548412750202,0.01709557266529917,0.10532195536910656
no_same_day_receipt,currency,KZT,brier,20,500,-0.001454904696809198,-0.0027199419595277724,-0.00042306253255663885
no_same_day_receipt,currency,KZT,logloss,20,500,-0.0062754983988407495,-0.01174687187636459,-0.0019189558379043262
no_same_day_receipt,currency,KZT,auc,20,500,0.05940166558167321,0.026456285128244272,0.08980243408780277
no_same_day_receipt,currency,KZT,brier,50,500,-0.0014493223723667835,-0.003032192394507659,-5.8799888922082214e-05
no_same_day_receipt,currency,KZT,logloss,50,500,-0.006260773489308871,-0.012841885866852983,-0.0005875545745006771
no_same_day_receipt,currency,KZT,auc,50,500,0.05928252531288981,0.025526652591917602,0.090363477171529
no_same_day_receipt,currency,TJS,brier,20,500,-0.002009564584628726,-0.003583857380587139,-0.0007263983710445806
no_same_day_receipt,currency,TJS,logloss,20,500,-0.007072316324967612,-0.012914706083469198,-0.002337425509626044
no_same_day_receipt,currency,TJS,auc,20,500,0.04768505142301955,0.00810845338834407,0.09186371627845417
no_same_day_receipt,currency,TJS,brier,50,500,-0.002010661544556152,-0.0036502436171522937,-0.0006254243955568983
no_same_day_receipt,currency,TJS,logloss,50,500,-0.007082638031790709,-0.013002970191681116,-0.0020894465457230406
no_same_day_receipt,currency,TJS,auc,50,500,0.047645755609752045,0.007603794604549164,0.08583492394707669
no_same_day_receipt,currency,UZS,brier,20,500,-0.002006766440959649,-0.003784499241644921,-0.0005335570345283817
no_same_day_receipt,currency,UZS,logloss,20,500,-0.007576036914433966,-0.014594246298363863,-0.0018543495814959344
no_same_day_receipt,currency,UZS,auc,20,500,0.04992610752892228,0.0057548318898968855,0.09865782165908549
no_same_day_receipt,currency,UZS,brier,50,500,-0.0019498639962140228,-0.0038040301369222343,-0.00027060567059141697
no_same_day_receipt,currency,UZS,logloss,50,500,-0.0073819699658588325,-0.014643485502537865,-0.001035853392917519
no_same_day_receipt,currency,UZS,auc,50,500,0.04751026410582878,0.009135656311500682,0.08435512900599895
no_same_day_receipt,year,2025,brier,20,500,-0.002197145305142274,-0.0036484547711359127,-0.0009453338370693547
no_same_day_receipt,year,2025,logloss,20,500,-0.007137183049984988,-0.012203393551398406,-0.003015588032586764
no_same_day_receipt,year,2025,auc,20,500,0.04585220174267141,0.019458047557812518,0.0733879720037402
no_same_day_receipt,year,2025,brier,50,500,-0.0022357413103006,-0.004148678063332456,-0.0004948685781121019
no_same_day_receipt,year,2025,logloss,50,500,-0.0072976136905488235,-0.013376161480288641,-0.0015658022419754477
no_same_day_receipt,year,2025,auc,50,500,0.046090719793462694,0.012396675659039211,0.07843536774568449
no_same_day_receipt,year,2026,brier,20,500,-0.002478564708430581,-0.006225550702119946,-5.601488988091717e-05
no_same_day_receipt,year,2026,logloss,20,500,-0.010065281994913092,-0.024854458103118673,-0.0006885992323561288
no_same_day_receipt,year,2026,auc,20,500,0.04605056802588388,0.0007035945811560803,0.10969674911988275
no_same_day_receipt,year,2026,brier,50,500,-0.002423328428971285,-0.005869831877926308,-2.195715314580662e-05
