policy,n_test,n_signals,signal_share,frequency,base_rate,hit_rate,aggregate_lift,mean_corridor_lift,min_corridor_lift,benefit_bps,year
nested_calib_fixed_q15,325,70,0.2153846153846154,1.0769230769230769,0.40307692307692305,0.4714285714285714,1.1695747001090513,1.1492200328407223,0.9027777777777777,86.81448697533283,2022
nested_calib_fixed_q15,1235,250,0.20242914979757085,0.9887005649717515,0.3781376518218624,0.472,1.248222698072805,1.2560259545544428,1.1063829787234043,66.90360409678472,2023
nested_calib_fixed_q15,1240,174,0.1403225806451613,0.688135593220339,0.3379032258064516,0.3793103448275862,1.1225413546210188,1.1495377600570125,0.9435637285986049,27.39896158638874,2024
nested_calib_fixed_q15,1235,252,0.2040485829959514,0.9938028169014084,0.22186234817813766,0.3412698412698413,1.5382053064534815,1.4939257613872123,1.1341836734693878,27.74565354942825,2025
nested_calib_fixed_q15,780,142,0.18205128205128204,0.8875,0.3423076923076923,0.6338028169014085,1.851558790947935,1.8820087972456396,1.3177387914230019,123.42149427712843,2026
nested_calib_rolling_120_q15,325,58,0.17846153846153845,0.8923076923076924,0.40307692307692305,0.4482758620689655,1.1121347723085022,1.0577781399916288,0.6770833333333333,54.326167239578034,2022
nested_calib_rolling_120_q15,1235,247,0.2,0.9768361581920905,0.3781376518218624,0.4777327935222672,1.2633832976445396,1.2308292123963418,1.0218676122931443,60.575393599753816,2023
nested_calib_rolling_120_q15,1240,192,0.15483870967741936,0.759322033898305,0.3379032258064516,0.3802083333333333,1.1251988862370723,1.1134253023399194,1.0064935064935066,23.543955325307014,2024
nested_calib_rolling_120_q15,1235,233,0.18866396761133603,0.9188732394366197,0.22186234817813766,0.31759656652360513,1.431502772469534,1.4254592800304333,1.1337704918032787,24.41685685791337,2025
nested_calib_rolling_120_q15,780,166,0.2128205128205128,1.0375,0.3423076923076923,0.6385542168674698,1.8654392852308106,1.860768324136745,1.3136842105263158,130.62999977975736,2026
nested_calib_rolling_250_q15,325,54,0.16615384615384615,0.8307692307692308,0.40307692307692305,0.4444444444444444,1.1026293469041561,1.0815116995073892,0.6770833333333333,56.32472702353474,2022
nested_calib_rolling_250_q15,1235,227,0.18380566801619433,0.8977401129943503,0.3781376518218624,0.4669603524229075,1.2348951504117576,1.2203794984506948,0.961338868707836,66.76318359964108,2023
nested_calib_rolling_250_q15,1240,176,0.14193548387096774,0.6960451977401131,0.3379032258064516,0.375,1.1097852028639619,1.1011855965569326,0.9393939393939393,22.305442461465194,2024
nested_calib_rolling_250_q15,1235,223,0.1805668016194332,0.8794366197183099,0.22186234817813766,0.3273542600896861,1.4754836175575268,1.4769580343717366,1.163265306122449,25.857099914296988,2025
