period,state,h,control,block_dates,n_dates,mean_delta,ci_low,ci_high,probability_adaptive_better
screen_2024,cutoff_1500,3,model,20,248,-29.859431215351805,-48.01249717738181,-16.0198218169428,1.0
screen_2024,cutoff_1500,3,model,50,248,-29.859431215351805,-43.82770916733596,-15.512861866594143,1.0
screen_2024,cutoff_1500,3,prior,20,248,-6.349911523126588,-10.209749379750107,-2.5907540007923715,0.998
screen_2024,cutoff_1500,3,prior,50,248,-6.349911523126588,-10.753631296827017,-1.3223572209700076,0.995
screen_2024,cutoff_1520,3,model,20,248,-29.11184041037465,-45.40258650450478,-14.926022727558038,1.0
screen_2024,cutoff_1520,3,model,50,248,-29.11184041037465,-42.39804685191814,-14.207795985504305,1.0
screen_2024,cutoff_1520,3,prior,20,248,-6.533616325243152,-10.110047971387187,-2.9885551248713984,1.0
screen_2024,cutoff_1520,3,prior,50,248,-6.533616325243152,-10.779700156895457,-1.86144930342666,0.997
screen_2024,cutoff_1530,3,model,20,248,-29.074343778411354,-45.61201640721972,-15.09288915456546,1.0
screen_2024,cutoff_1530,3,model,50,248,-29.074343778411354,-42.2542591247458,-14.603604703086635,1.0
screen_2024,cutoff_1530,3,prior,20,248,-6.575222681665015,-10.252987546552383,-2.703337020891013,1.0
screen_2024,cutoff_1530,3,prior,50,248,-6.575222681665015,-10.63023457356437,-1.9721915601967446,0.999
screen_2024,early_1000,3,model,20,248,-127.11458070603922,-326.91762031262783,-18.212068612162618,1.0
screen_2024,early_1000,3,model,50,248,-127.11458070603922,-331.91936042890796,-10.571416477477735,1.0
screen_2024,early_1000,3,prior,20,248,25.578891993377955,-1.0175434491577198,76.54299941518876,0.08
screen_2024,early_1000,3,prior,50,248,25.578891993377955,-1.5005772664156052,76.68913365420177,0.154
screen_2024,premarket,3,model,20,248,-41.39309904336191,-57.550223685511206,-25.442861513816116,1.0
screen_2024,premarket,3,model,50,248,-41.39309904336191,-58.95600386675443,-22.111001556155422,1.0
screen_2024,premarket,3,prior,20,248,2.6430563630584363,-0.8509335975086492,6.674862930282299,0.089
screen_2024,premarket,3,prior,50,248,2.6430563630584363,-1.2895993735644924,7.390132554586183,0.124
screen_2024,update_1630,3,model,20,248,-22.934392765604414,-39.79767458893407,-10.489676491521276,1.0
screen_2024,update_1630,3,model,50,248,-22.934392765604414,-36.68263590500298,-11.199107903241659,1.0
screen_2024,update_1630,3,prior,20,248,-6.942785152717428,-11.622874831421502,-2.1802939801885803,0.996
screen_2024,update_1630,3,prior,50,248,-6.942785152717428,-12.349114580450577,-0.5658197579575596,0.981
screen_2024,update_1730,3,model,20,248,-24.724236456552084,-40.341913504235386,-10.96725628434401,1.0
screen_2024,update_1730,3,model,50,248,-24.724236456552084,-37.88749070438169,-10.861391871749786,1.0
screen_2024,update_1730,3,prior,20,248,-7.557716896407647,-11.242372896926334,-3.9419211420495004,1.0
screen_2024,update_1730,3,prior,50,248,-7.557716896407647,-11.517367448974008,-3.266870030369114,1.0
screen_2024,cutoff_1030,5,model,20,248,-52.76332265132133,-73.09500885542883,-32.97210799430807,1.0
screen_2024,cutoff_1030,5,model,50,248,-52.76332265132133,-72.12628477930961,-29.374385692847454,1.0
