state,h,period,candidate,n,mae_model,mae_prior,rmse_model,rmse_prior,spearman,positive_sign_accuracy,mean_predicted_bps,mean_actual_bps
cutoff_1500,5,opened_2025_2026,model,2020,104.68531406093827,119.39212389026827,134.06491009042577,152.15036723649843,0.49262353223712474,0.6777227722772278,3.005757025199853,-7.123141820913056
cutoff_1500,5,opened_2025_2026,prior,2020,119.39212389026827,119.39212389026827,152.15036723649843,152.15036723649843,-0.21231775577471576,0.4514851485148515,-2.5372305727484026,-7.123141820913056
cutoff_1500,5,opened_2025_2026,adaptive,2020,109.14789568292245,119.39212389026827,139.82892276728387,152.15036723649843,0.47883911003374285,0.6707920792079208,-1.242878662786525,-7.123141820913056
cutoff_1520,5,screen_2024,model,1240,147.6720086498041,102.65075907843051,193.10654217911733,146.30094646034277,0.29808673216509807,0.6,87.09386929991047,12.333405078337561
cutoff_1520,5,screen_2024,prior,1240,102.65075907843051,102.65075907843051,146.30094646034277,146.30094646034277,-0.15980530021598172,0.5467741935483871,4.449910935180869,12.333405078337561
cutoff_1520,5,screen_2024,adaptive,1240,98.16300689459007,102.65075907843051,142.0016963259401,146.30094646034277,0.2941921222004084,0.592741935483871,25.110900526363267,12.333405078337561
cutoff_1520,5,opened_2025_2026,model,2020,104.49644502566284,119.39212389026827,133.87773081751195,152.15036723649843,0.49466059714763033,0.6737623762376238,2.8408689737100588,-7.123141820913056
cutoff_1520,5,opened_2025_2026,prior,2020,119.39212389026827,119.39212389026827,152.15036723649843,152.15036723649843,-0.21231775577471576,0.4514851485148515,-2.5372305727484026,-7.123141820913056
cutoff_1520,5,opened_2025_2026,adaptive,2020,109.06796257172208,119.39212389026827,139.73742633580883,152.15036723649843,0.48037552064379146,0.6712871287128713,-1.302838735216526,-7.123141820913056
cutoff_1530,5,screen_2024,model,1240,147.5834479174028,102.65075907843051,192.79829679204155,146.30094646034277,0.3002982026711986,0.5967741935483871,87.58986893714882,12.333405078337561
cutoff_1530,5,screen_2024,prior,1240,102.65075907843051,102.65075907843051,146.30094646034277,146.30094646034277,-0.15980530021598172,0.5467741935483871,4.449910935180869,12.333405078337561
cutoff_1530,5,screen_2024,adaptive,1240,98.13302119894806,102.65075907843051,141.94064784385753,146.30094646034277,0.29612336527441857,0.5911290322580646,25.234900435672856,12.333405078337561
cutoff_1530,5,opened_2025_2026,model,2020,104.19597407786783,119.39212389026827,133.4176757056984,152.15036723649843,0.49899789866938815,0.6792079207920793,2.76079155474273,-7.123141820913056
cutoff_1530,5,opened_2025_2026,prior,2020,119.39212389026827,119.39212389026827,152.15036723649843,152.15036723649843,-0.21231775577471576,0.4514851485148515,-2.5372305727484026,-7.123141820913056
cutoff_1530,5,opened_2025_2026,adaptive,2020,108.95559675653784,119.39212389026827,139.58985280875785,152.15036723649843,0.48443423409240993,0.6732673267326733,-1.3655488871834922,-7.123141820913056
update_1630,5,screen_2024,model,1240,138.61113252079244,102.65075907843051,183.01400765352432,146.30094646034277,0.3409575578548113,0.6306451612903226,74.78698296661709,12.333405078337561
update_1630,5,screen_2024,prior,1240,102.65075907843051,102.65075907843051,146.30094646034277,146.30094646034277,-0.15980530021598172,0.5467741935483871,4.449910935180869,12.333405078337561
update_1630,5,screen_2024,adaptive,1240,96.74713534995637,102.65075907843051,140.40054206547143,146.30094646034277,0.33845253583357,0.6217741935483871,22.034178943039926,12.333405078337561
update_1630,5,opened_2025_2026,model,2020,102.53759010691381,119.39212389026827,131.16472971407012,152.15036723649843,0.5185465285707753,0.6861386138613862,3.086362893294122,-7.123141820913056
update_1630,5,opened_2025_2026,prior,2020,119.39212389026827,119.39212389026827,152.15036723649843,152.15036723649843,-0.21231775577471576,0.4514851485148515,-2.5372305727484026,-7.123141820913056
update_1630,5,opened_2025_2026,adaptive,2020,105.95481216018803,119.39212389026827,136.91065256420495,152.15036723649843,0.5085288565220613,0.6841584158415842,-1.2456642553569313,-7.123141820913056
update_1730,5,screen_2024,model,1240,141.26003892821507,102.65075907843051,184.33052913571936,146.30094646034277,0.33499205055120607,0.632258064516129,79.73568596513742,12.333405078337561
update_1730,5,screen_2024,prior,1240,102.65075907843051,102.65075907843051,146.30094646034277,146.30094646034277,-0.15980530021598172,0.5467741935483871,4.449910935180869,12.333405078337561
update_1730,5,screen_2024,adaptive,1240,96.62853446100736,102.65075907843051,140.22208887962395,146.30094646034277,0.33153172890897414,0.6185483870967742,23.27135469267001,12.333405078337561
update_1730,5,opened_2025_2026,model,2020,103.06573983841201,119.39212389026827,131.3407304250957,152.15036723649843,0.5251103071727121,0.6905940594059405,5.226403615164093,-7.123141820913056
update_1730,5,opened_2025_2026,prior,2020,119.39212389026827,119.39212389026827,152.15036723649843,152.15036723649843,-0.21231775577471576,0.4514851485148515,-2.5372305727484026,-7.123141820913056
update_1730,5,opened_2025_2026,adaptive,2020,107.292026170484,119.39212389026827,138.07723506887203,152.15036723649843,0.5108803009967727,0.6782178217821783,-0.08786079691260748,-7.123141820913056
early_1000,5,screen_2024,model,1240,370.245119212101,102.65075907843051,738.2939812939005,146.30094646034277,0.010066605939394116,0.5629032258064516,320.1180456251211,12.333405078337561
early_1000,5,screen_2024,prior,1240,102.65075907843051,102.65075907843051,146.30094646034277,146.30094646034277,-0.15980530021598172,0.5467741935483871,4.449910935180869,12.333405078337561
early_1000,5,screen_2024,adaptive,1240,126.12625279989128,102.65075907843051,214.22003305064632,146.30094646034277,-0.08500521237089792,0.55,45.07388845155224,12.333405078337561
early_1000,5,opened_2025_2026,model,2020,109.56642490046923,119.39212389026827,141.5011671991605,152.15036723649843,0.39674461946364836,0.647029702970297,2.773969758388055,-7.123141820913056
early_1000,5,opened_2025_2026,prior,2020,119.39212389026827,119.39212389026827,152.15036723649843,152.15036723649843,-0.21231775577471576,0.4514851485148515,-2.5372305727484026,-7.123141820913056
early_1000,5,opened_2025_2026,adaptive,2020,119.39212389026827,119.39212389026827,152.15036723649843,152.15036723649843,-0.21231775577471576,0.4514851485148515,-2.5372305727484026,-7.123141820913056
premarket,10,screen_2024,model,1240,212.5085221365161,131.76858487305697,266.5472485722862,174.0289053316229,0.04125723328719731,0.5653225806451613,74.14807416587983,23.812050926940604
premarket,10,screen_2024,prior,1240,131.76858487305697,131.76858487305697,174.0289053316229,174.0289053316229,-0.2457545266403497,0.5016129032258064,3.864516759005077,23.812050926940604
premarket,10,screen_2024,adaptive,1240,133.48839234758364,131.76858487305697,175.97635653443382,174.0289053316229,0.030953109990148237,0.5766129032258065,21.435406110723765,23.812050926940604
premarket,10,opened_2025_2026,model,1995,159.78301441676143,159.11082409901582,205.74583982105875,204.62155956242805,0.26044475887015844,0.5789473684210527,-23.426865680066072,-14.588638443899937
premarket,10,opened_2025_2026,prior,1995,159.11082409901582,159.11082409901582,204.62155956242805,204.62155956242805,-0.28330503846430866,0.46867167919799496,-5.7765846318927,-14.588638443899937
premarket,10,opened_2025_2026,adaptive,1995,154.4428480725087,159.11082409901582,198.53598203639342,204.62155956242805,0.18156670200454753,0.5699248120300752,-11.197246226912268,-14.588638443899937
cutoff_1030,10,screen_2024,model,1240,218.23164195201488,131.76858487305697,271.7638390164448,174.0289053316229,0.1574102262368881,0.6225806451612903,149.8220682283349,23.812050926940604
cutoff_1030,10,screen_2024,prior,1240,131.76858487305697,131.76858487305697,174.0289053316229,174.0289053316229,-0.2457545266403497,0.5016129032258064,3.864516759005077,23.812050926940604
cutoff_1030,10,screen_2024,adaptive,1240,128.09633677799823,131.76858487305697,172.5930899616779,174.0289053316229,0.14656125053285318,0.6225806451612903,40.35390462633753,23.812050926940604
cutoff_1030,10,opened_2025_2026,model,1995,149.8358171894281,159.11082409901582,191.73544145325212,204.62155956242805,0.3708278012575252,0.624561403508772,8.895150652785516,-14.588638443899937
cutoff_1030,10,opened_2025_2026,prior,1995,159.11082409901582,159.11082409901582,204.62155956242805,204.62155956242805,-0.28330503846430866,0.46867167919799496,-5.7765846318927,-14.588638443899937
cutoff_1030,10,opened_2025_2026,adaptive,1995,150.71291216923606,159.11082409901582,194.3394137722912,204.62155956242805,0.31954738958841655,0.6140350877192983,-1.6138236783969166,-14.588638443899937
cutoff_1130,10,screen_2024,model,1240,213.44969702781836,131.76858487305697,266.0431367708451,174.0289053316229,0.18873274753103234,0.625,142.01361148535105,23.812050926940604
cutoff_1130,10,screen_2024,prior,1240,131.76858487305697,131.76858487305697,174.0289053316229,174.0289053316229,-0.2457545266403497,0.5016129032258064,3.864516759005077,23.812050926940604
cutoff_1130,10,screen_2024,adaptive,1240,127.33558907849914,131.76858487305697,171.40181275969582,174.0289053316229,0.17768905265769513,0.6274193548387097,38.401790440591576,23.812050926940604
cutoff_1130,10,opened_2025_2026,model,1995,146.72589975293863,159.11082409901582,187.87765703294303,204.62155956242805,0.4070887893841091,0.6401002506265664,7.9229638775473274,-14.588638443899937
cutoff_1130,10,opened_2025_2026,prior,1995,159.11082409901582,159.11082409901582,204.62155956242805,204.62155956242805,-0.28330503846430866,0.46867167919799496,-5.7765846318927,-14.588638443899937
cutoff_1130,10,opened_2025_2026,adaptive,1995,149.59121158938444,159.11082409901582,193.00685631261172,204.62155956242805,0.35873508542261556,0.6280701754385964,-1.7530203280356547,-14.588638443899937
