state,h,origin,n_train,n_query,selected_weight,mae_weight_0,mae_weight_0.25,mae_weight_0.5,mae_weight_0.75,mae_weight_1,last_target_maturity
cutoff_1330,3,2024-01-01,1215,285,0.25,101.02444724653424,89.62620402734257,90.02568997810178,99.00266827457259,114.49521559878282,2023-12-29
cutoff_1330,3,2024-04-01,1500,300,0.25,91.77847373354489,81.04362541443999,81.94168964891375,92.15011074690771,108.71051747412277,2024-03-29
cutoff_1330,3,2024-07-01,1800,325,0.25,88.64144808282693,80.47094563661126,82.99505702112221,93.63776437923902,109.97838566958767,2024-06-28
cutoff_1330,3,2024-10-01,2130,330,0.25,89.83260307075624,81.86400397652164,85.22447213389081,97.56645152241634,115.31053771005286,2024-09-28
cutoff_1330,3,2025-01-01,2460,285,0.25,94.55731200945063,86.42555103717626,88.67228694624197,99.11084070644183,114.70180837103294,2024-12-29
cutoff_1330,3,2025-04-01,2460,295,0.25,100.78699832290053,92.24432408728434,92.97527502621202,101.05564902012492,114.06592975500352,2025-03-29
cutoff_1330,3,2025-07-01,2450,330,0.25,96.27626572478874,88.8784788987942,89.91905982806516,97.73787046673701,110.1457443447136,2025-06-28
cutoff_1330,3,2025-10-01,2450,325,0.5,92.67870191189192,85.29821137253671,84.8552220403725,90.19948833785166,99.46785405189515,2025-09-27
cutoff_1330,3,2026-01-01,2450,270,0.5,92.6787405474862,86.15916770602456,85.68954708739567,90.36087984538503,98.54337489512773,2025-12-27
cutoff_1330,3,2026-04-01,2440,310,0.5,95.70519856441871,88.97542772737629,87.33174643638863,90.1296374175952,96.28307611351418,2026-03-28
cutoff_1330,3,2026-07-01,2450,230,0.5,97.5738032253484,89.62405235216785,86.12224099957346,86.79544741720018,90.8168531860443,2026-06-27
cutoff_1430,3,2023-01-01,0,280,0.0,,,,,,
cutoff_1430,3,2023-04-01,255,305,0.0,,,,,,2023-03-29
cutoff_1430,3,2023-07-01,560,330,0.25,93.42212840962254,85.89718397774419,87.63290082734848,95.67187742636092,107.54021452278633,2023-06-28
cutoff_1430,3,2023-10-01,890,320,0.25,101.74536667376903,92.9500223874502,95.96225536161008,107.02428862191367,125.05005047847601,2023-09-28
cutoff_1430,3,2024-01-01,1215,285,0.25,101.02444724653424,89.15574538881701,89.44564349771588,98.81519068413606,114.98562178361091,2023-12-29
cutoff_1430,3,2024-04-01,1500,300,0.25,91.77847373354489,80.59116669392267,81.10368753059741,91.38257804312515,108.2874431107438,2024-03-29
cutoff_1430,3,2024-07-01,1800,325,0.25,88.64144808282693,80.00654650175777,82.03575396229672,92.57223273109653,108.9988573500234,2024-06-28
