candidate,year,currency,h,n_scope,n_signals,first,last,hit_rate,base_rate,pooled_lift,adjusted_lift,frequency,currency_rate_min,currency_rate_max,symmetric_bps,forward_bps
ap1_change_z_r25_exact,2024,TJS,1,248,66,2024-01-09,2024-12-28,1.0,0.5483870967741935,1.823529411764706,1.823529411764706,1.3014084507042254,1.3014084507042254,1.3014084507042254,21.41892176277085,95.53905282936755
ap1_change_z_r25_exact,2024,TJS,3,248,66,2024-01-09,2024-12-28,0.8181818181818182,0.4032258064516129,2.0290909090909093,2.0290909090909093,1.3014084507042254,1.3014084507042254,1.3014084507042254,38.14726415409322,113.69322385266966
ap1_change_z_r25_exact,2024,TJS,5,248,66,2024-01-09,2024-12-28,0.7121212121212122,0.35080645161290325,2.029954719609892,2.0299547196098917,1.3014084507042254,1.3014084507042254,1.3014084507042254,43.332069506034244,114.83201034928311
ap1_change_z_r25_exact,2024,TJS,10,248,66,2024-01-09,2024-12-28,0.5454545454545454,0.29435483870967744,1.8530510585305104,1.8530510585305104,1.3014084507042254,1.3014084507042254,1.3014084507042254,37.04769142492715,112.14884326905276
ap1_change_z_r25_exact,2024,TJS,20,248,66,2024-01-09,2024-12-28,0.3484848484848485,0.18548387096774194,1.878787878787879,1.8787878787878787,1.3014084507042254,1.3014084507042254,1.3014084507042254,26.08570859805103,112.92901558738795
ap1_change_z_r25_exact,2024,UZS,1,248,68,2024-01-09,2024-12-28,1.0,0.5403225806451613,1.8507462686567164,1.8507462686567164,1.3408450704225352,1.3408450704225352,1.3408450704225352,22.683411561694584,94.34159310156362
ap1_change_z_r25_exact,2024,UZS,3,248,68,2024-01-09,2024-12-28,0.8382352941176471,0.3870967741935484,2.1654411764705883,2.1654411764705883,1.3408450704225352,1.3408450704225352,1.3408450704225352,46.71188647364189,121.6751831746665
ap1_change_z_r25_exact,2024,UZS,5,248,68,2024-01-09,2024-12-28,0.7352941176470589,0.33064516129032256,2.223816355810617,2.2238163558106168,1.3408450704225352,1.3408450704225352,1.3408450704225352,55.8059879106122,128.06066427585046
ap1_change_z_r25_exact,2024,UZS,10,248,68,2024-01-09,2024-12-28,0.5441176470588235,0.2620967741935484,2.076018099547511,2.0760180995475115,1.3408450704225352,1.3408450704225352,1.3408450704225352,53.84364264231898,129.61697298850922
ap1_change_z_r25_exact,2024,UZS,20,248,68,2024-01-09,2024-12-28,0.4117647058823529,0.1814516129032258,2.269281045751634,2.269281045751634,1.3408450704225352,1.3408450704225352,1.3408450704225352,50.62826637560767,128.94923143293383
ap1_change_z_r25_exact,2024,KGS,1,248,64,2024-01-09,2024-12-28,1.0,0.5645161290322581,1.7714285714285714,1.7714285714285714,1.2619718309859154,1.2619718309859154,1.2619718309859154,22.987729394510914,96.35986380177545
ap1_change_z_r25_exact,2024,KGS,3,248,64,2024-01-09,2024-12-28,0.828125,0.4153225806451613,1.9939320388349513,1.9939320388349513,1.2619718309859154,1.2619718309859154,1.2619718309859154,45.531741592548464,118.77200119669419
ap1_change_z_r25_exact,2024,KGS,5,248,64,2024-01-09,2024-12-28,0.75,0.3709677419354839,2.0217391304347827,2.0217391304347827,1.2619718309859154,1.2619718309859154,1.2619718309859154,54.551892224888334,124.8740668771231
ap1_change_z_r25_exact,2024,KGS,10,248,64,2024-01-09,2024-12-28,0.5625,0.29435483870967744,1.910958904109589,1.910958904109589,1.2619718309859154,1.2619718309859154,1.2619718309859154,51.09898031208317,126.57883787904902
ap1_change_z_r25_exact,2024,KGS,20,248,64,2024-01-09,2024-12-28,0.4375,0.20967741935483872,2.0865384615384617,2.0865384615384617,1.2619718309859154,1.2619718309859154,1.2619718309859154,45.44662364066318,136.95375693704506
ap1_change_z_r25_exact,2024,AMD,1,248,70,2024-01-09,2024-12-28,1.0,0.5604838709677419,1.7841726618705038,1.7841726618705038,1.380281690140845,1.380281690140845,1.380281690140845,24.345709404400026,94.24970242692764
ap1_change_z_r25_exact,2024,AMD,3,248,70,2024-01-09,2024-12-28,0.8285714285714286,0.4032258064516129,2.054857142857143,2.054857142857143,1.380281690140845,1.380281690140845,1.380281690140845,45.49039822802778,117.20915870677543
ap1_change_z_r25_exact,2024,AMD,5,248,70,2024-01-09,2024-12-28,0.7428571428571429,0.35080645161290325,2.1175697865353036,2.1175697865353036,1.380281690140845,1.380281690140845,1.380281690140845,53.5456905363914,122.50142074307145
ap1_change_z_r25_exact,2024,AMD,10,248,70,2024-01-09,2024-12-28,0.6285714285714286,0.2903225806451613,2.165079365079365,2.165079365079365,1.380281690140845,1.380281690140845,1.380281690140845,54.65359087813804,131.5592123834744
ap1_change_z_r25_exact,2024,AMD,20,248,70,2024-01-09,2024-12-28,0.4714285714285714,0.21370967741935484,2.2059299191374664,2.205929919137466,1.380281690140845,1.380281690140845,1.380281690140845,52.88775407302014,148.48190927716868
ap1_change_z_r25_exact,2024,KZT,1,248,62,2024-01-09,2024-12-28,1.0,0.5080645161290323,1.9682539682539684,1.9682539682539681,1.2225352112676056,1.2225352112676056,1.2225352112676056,31.875850429797694,107.83231599915861
ap1_change_z_r25_exact,2024,KZT,3,248,62,2024-01-09,2024-12-28,0.7419354838709677,0.3346774193548387,2.216867469879518,2.216867469879518,1.2225352112676056,1.2225352112676056,1.2225352112676056,52.695233227543575,119.46425245665806
