scenario,clock,h,brier_hierarchical_beta,brier_identity,logloss_hierarchical_beta,logloss_identity,ece_hierarchical_beta,ece_identity,max_brier_ci_high,brier_delta,logloss_delta,ece_delta,pass
calendar_assumed_replay,16:45,5,0.1728586924939355,0.169400379276183,0.5223044651673315,0.5121207878936787,0.05742315912471712,0.04243080346972182,0.007686242032899945,0.003458313217752501,0.01018367727365288,0.0149923556549953,False
calendar_assumed_replay,16:45,10,0.140737961467526,0.13973153426189666,0.44920618194249945,0.4435434214910934,0.06040129783797228,0.05211903630957734,0.0034890102945034163,0.001006427205629351,0.005662760451406068,0.008282261528394938,False
calendar_assumed_replay,16:45,20,0.11461706515909337,0.11580200154319217,0.3854346587097782,0.3861549582066332,0.03073532349628671,0.032349341806215716,0.0012859804406738448,-0.0011849363840988059,-0.0007202994968549814,-0.0016140183099290044,False
calendar_assumed_replay,17:45,5,0.174213973962764,0.16920253891005554,0.5267170347651359,0.5144344202786361,0.06209527368196816,0.055955029208399225,0.009558777314589834,0.005011435052708457,0.01228261448649981,0.006140244473568937,False
calendar_assumed_replay,17:45,10,0.14121630295758178,0.138911788582362,0.4518781981161662,0.44462826640070235,0.06925427429284382,0.058912244347370704,0.0054399988905960055,0.0023045143752197794,0.007249931715463842,0.010342029945473119,False
calendar_assumed_replay,17:45,20,0.11514358370058016,0.11561666060119635,0.3883821811102461,0.38732321482108845,0.03975312507768791,0.033247472267899966,0.0022383552005420184,-0.00047307690061619556,0.0010589662891576368,0.006505652809787946,False
calendar_assumed_replay,18:45,5,0.1725719523341783,0.17059748715876621,0.5253961259601414,0.520593629749445,0.06128030391810273,0.06014288799895158,0.004131638450166383,0.0019744651754120823,0.004802496210696394,0.0011374159191511468,False
calendar_assumed_replay,18:45,10,0.15645826616972966,0.1476138160578112,0.49350519496471346,0.4701231698658809,0.10286752549621889,0.0607580610164231,0.01377034625304629,0.00884445011191845,0.02338202509883258,0.042109464479795786,False
calendar_assumed_replay,18:45,20,0.1230874748127039,0.12122297986055745,0.4143839861018656,0.40912336286545337,0.06501539074890372,0.04815132918403837,0.004035603996026285,0.0018644949521464532,0.005260623236412243,0.016864061564865356,False
calendar_assumed_replay,19:15,5,0.1711649299465515,0.16909819152759692,0.5210649359685582,0.5154492243573323,0.0588386847360257,0.053503092017004525,0.00420050654365352,0.002066738418954578,0.005615711611225871,0.005335592719021176,False
calendar_assumed_replay,19:15,10,0.1555908365046597,0.14685596511894117,0.4909833340672628,0.46775821006647617,0.10038062563856387,0.055949914979938516,0.01431528809188799,0.008734871385718546,0.023225124000786634,0.044430710658625354,False
calendar_assumed_replay,19:15,20,0.12269140373359842,0.12052476340923467,0.4129180347669804,0.40652028628537573,0.06491528556475738,0.04754369127089533,0.00443505689257195,0.0021666403243637555,0.0063977484816046815,0.01737159429386205,False
