scenario,clock,h,model,bin,n,predicted,actual
calendar_assumed_replay,14:45,5,global_platt,9,5,0.9274217572791992,0.6
calendar_assumed_replay,14:45,5,fixed_logit_shrink_80,0,76,0.07641621062459805,0.0
calendar_assumed_replay,14:45,5,fixed_logit_shrink_80,1,361,0.1579991763677901,0.05263157894736842
calendar_assumed_replay,14:45,5,fixed_logit_shrink_80,2,733,0.255362034695588,0.17871759890859482
calendar_assumed_replay,14:45,5,fixed_logit_shrink_80,3,1226,0.3459782521915356,0.2544861337683524
calendar_assumed_replay,14:45,5,fixed_logit_shrink_80,4,351,0.4388333399326002,0.45014245014245013
calendar_assumed_replay,14:45,5,fixed_logit_shrink_80,5,167,0.5478119064174717,0.6287425149700598
calendar_assumed_replay,14:45,5,fixed_logit_shrink_80,6,61,0.6435987570688948,0.6065573770491803
calendar_assumed_replay,14:45,5,fixed_logit_shrink_80,7,30,0.7267384672796879,0.6666666666666666
calendar_assumed_replay,14:45,5,fixed_logit_shrink_80,8,5,0.8225903937224629,1.0
calendar_assumed_replay,14:45,5,fixed_logit_shrink_80,9,5,0.991251853345626,0.6
calendar_assumed_replay,14:45,5,hierarchical_beta,0,81,0.0717531558620046,0.0
calendar_assumed_replay,14:45,5,hierarchical_beta,1,394,0.15980210849231502,0.08883248730964467
calendar_assumed_replay,14:45,5,hierarchical_beta,2,1078,0.2548380379209862,0.19944341372912802
calendar_assumed_replay,14:45,5,hierarchical_beta,3,1029,0.3432700227880874,0.27696793002915454
calendar_assumed_replay,14:45,5,hierarchical_beta,4,343,0.44388114113695365,0.5801749271137027
calendar_assumed_replay,14:45,5,hierarchical_beta,5,90,0.5253309118307689,0.6222222222222222
calendar_assumed_replay,15:10,5,identity,0,210,0.06568838865541508,0.023809523809523808
calendar_assumed_replay,15:10,5,identity,1,530,0.15231687803448266,0.09622641509433963
calendar_assumed_replay,15:10,5,identity,2,947,0.2574241003202022,0.22175290390707497
calendar_assumed_replay,15:10,5,identity,3,829,0.34111613238033717,0.28950542822677927
calendar_assumed_replay,15:10,5,identity,4,222,0.44348017631042425,0.481981981981982
calendar_assumed_replay,15:10,5,identity,5,132,0.5495055529168276,0.6136363636363636
calendar_assumed_replay,15:10,5,identity,6,85,0.6391196247385126,0.6823529411764706
calendar_assumed_replay,15:10,5,identity,7,41,0.7514219033267577,0.5365853658536586
calendar_assumed_replay,15:10,5,identity,8,14,0.8299518887897585,0.7857142857142857
calendar_assumed_replay,15:10,5,identity,9,5,0.9988583210988977,1.0
calendar_assumed_replay,15:10,5,global_platt,0,15,0.0910999797469305,0.0
calendar_assumed_replay,15:10,5,global_platt,1,293,0.16594583712465344,0.020477815699658702
calendar_assumed_replay,15:10,5,global_platt,2,1184,0.26107693498562856,0.17989864864864866
calendar_assumed_replay,15:10,5,global_platt,3,1233,0.33211149085033,0.31549067315490675
calendar_assumed_replay,15:10,5,global_platt,4,220,0.442060507471457,0.6272727272727273
calendar_assumed_replay,15:10,5,global_platt,5,59,0.5427559503605499,0.5932203389830508
calendar_assumed_replay,15:10,5,global_platt,6,6,0.6210904369701672,0.6666666666666666
calendar_assumed_replay,15:10,5,global_platt,9,5,0.9537256707651645,1.0
calendar_assumed_replay,15:10,5,fixed_logit_shrink_80,0,83,0.07434798601261708,0.0
calendar_assumed_replay,15:10,5,fixed_logit_shrink_80,1,370,0.1576412529947728,0.051351351351351354
calendar_assumed_replay,15:10,5,fixed_logit_shrink_80,2,722,0.25535085770066485,0.1772853185595568
calendar_assumed_replay,15:10,5,fixed_logit_shrink_80,3,1218,0.34579780799715387,0.2569786535303777
calendar_assumed_replay,15:10,5,fixed_logit_shrink_80,4,345,0.43822168295521896,0.4434782608695652
calendar_assumed_replay,15:10,5,fixed_logit_shrink_80,5,167,0.5503748753748952,0.6347305389221557
calendar_assumed_replay,15:10,5,fixed_logit_shrink_80,6,66,0.641920379995329,0.6060606060606061
calendar_assumed_replay,15:10,5,fixed_logit_shrink_80,7,36,0.7376202259317785,0.6666666666666666
calendar_assumed_replay,15:10,5,fixed_logit_shrink_80,8,3,0.8107195280676507,0.6666666666666666
calendar_assumed_replay,15:10,5,fixed_logit_shrink_80,9,5,0.9955927434719598,1.0
calendar_assumed_replay,15:10,5,hierarchical_beta,0,94,0.06999070566880966,0.0
calendar_assumed_replay,15:10,5,hierarchical_beta,1,400,0.15907379821952822,0.1
calendar_assumed_replay,15:10,5,hierarchical_beta,2,1082,0.25483081686338893,0.19593345656192238
calendar_assumed_replay,15:10,5,hierarchical_beta,3,999,0.34357616953591863,0.2822822822822823
calendar_assumed_replay,15:10,5,hierarchical_beta,4,341,0.4454850913059746,0.5659824046920822
calendar_assumed_replay,15:10,5,hierarchical_beta,5,99,0.5277851417491966,0.6363636363636364
calendar_assumed_replay,15:25,5,identity,0,222,0.0661107902377747,0.02252252252252252
calendar_assumed_replay,15:25,5,identity,1,526,0.15244754071915628,0.10076045627376426
calendar_assumed_replay,15:25,5,identity,2,938,0.25753168782745745,0.22281449893390193
calendar_assumed_replay,15:25,5,identity,3,829,0.341246292589801,0.2870928829915561
calendar_assumed_replay,15:25,5,identity,4,221,0.44416215485082366,0.4841628959276018
calendar_assumed_replay,15:25,5,identity,5,118,0.5476735207222683,0.6271186440677966
calendar_assumed_replay,15:25,5,identity,6,98,0.6381552193116964,0.6428571428571429
calendar_assumed_replay,15:25,5,identity,7,44,0.7485903979240713,0.5681818181818182
calendar_assumed_replay,15:25,5,identity,8,14,0.8182037501515963,0.7857142857142857
calendar_assumed_replay,15:25,5,identity,9,5,0.9989608365574298,1.0
calendar_assumed_replay,15:25,5,global_platt,0,20,0.0919592034165089,0.0
calendar_assumed_replay,15:25,5,global_platt,1,287,0.1659899544210007,0.020905923344947737
calendar_assumed_replay,15:25,5,global_platt,2,1179,0.26065203019224414,0.178117048346056
calendar_assumed_replay,15:25,5,global_platt,3,1236,0.3323015253612301,0.31472491909385114
calendar_assumed_replay,15:25,5,global_platt,4,226,0.445614782800694,0.6238938053097345
calendar_assumed_replay,15:25,5,global_platt,5,59,0.5471438428549386,0.6101694915254238
calendar_assumed_replay,15:25,5,global_platt,6,3,0.6105086221959408,1.0
calendar_assumed_replay,15:25,5,global_platt,9,5,0.9554273761637914,1.0
calendar_assumed_replay,15:25,5,fixed_logit_shrink_80,0,89,0.07471938353517764,0.0
calendar_assumed_replay,15:25,5,fixed_logit_shrink_80,1,373,0.15758078606200665,0.05093833780160858
calendar_assumed_replay,15:25,5,fixed_logit_shrink_80,2,714,0.255055096978852,0.18067226890756302
calendar_assumed_replay,15:25,5,fixed_logit_shrink_80,3,1215,0.3458309507441654,0.25761316872427986
calendar_assumed_replay,15:25,5,fixed_logit_shrink_80,4,345,0.4385358340688161,0.43768115942028984
calendar_assumed_replay,15:25,5,fixed_logit_shrink_80,5,154,0.5503678241331194,0.6168831168831169
calendar_assumed_replay,15:25,5,fixed_logit_shrink_80,6,80,0.6359975434896468,0.6375
calendar_assumed_replay,15:25,5,fixed_logit_shrink_80,7,40,0.7409834015297371,0.675
calendar_assumed_replay,15:25,5,fixed_logit_shrink_80,9,5,0.9959113281946792,1.0
calendar_assumed_replay,15:25,5,hierarchical_beta,0,96,0.0687969839775898,0.0
calendar_assumed_replay,15:25,5,hierarchical_beta,1,401,0.15816308517093505,0.09725685785536159
calendar_assumed_replay,15:25,5,hierarchical_beta,2,1079,0.2545962173401697,0.1936978683966636
calendar_assumed_replay,15:25,5,hierarchical_beta,3,994,0.3438817298274025,0.2857142857142857
calendar_assumed_replay,15:25,5,hierarchical_beta,4,335,0.4458299901949551,0.5671641791044776
calendar_assumed_replay,15:25,5,hierarchical_beta,5,110,0.5266720125922038,0.6181818181818182
calendar_assumed_replay,15:45,5,identity,0,222,0.06513419140985771,0.02252252252252252
calendar_assumed_replay,15:45,5,identity,1,523,0.15136155510105445,0.09751434034416825
calendar_assumed_replay,15:45,5,identity,2,937,0.25743210137939604,0.22198505869797225
calendar_assumed_replay,15:45,5,identity,3,829,0.3410237966030854,0.29071170084439085
calendar_assumed_replay,15:45,5,identity,4,222,0.4438759335294213,0.47297297297297297
calendar_assumed_replay,15:45,5,identity,5,118,0.5471583231908643,0.6271186440677966
calendar_assumed_replay,15:45,5,identity,6,101,0.6414090972851151,0.6435643564356436
calendar_assumed_replay,15:45,5,identity,7,43,0.7505972057765606,0.5813953488372093
calendar_assumed_replay,15:45,5,identity,8,15,0.8194593393612493,0.7333333333333333
calendar_assumed_replay,15:45,5,identity,9,5,0.9990299695946318,1.0
calendar_assumed_replay,15:45,5,global_platt,0,21,0.09134174303797298,0.0
