origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,train_mask_sha256,last_shared_mature20,score_min,score_mean,score_max,n_groups_total,n_groups_kept,n_group_rows,target_kind,group_kind,rolling_days,loss,fallback
2025-01-01,rank_qtr_mean_full_yeti,3610,1951,290,a93a265851611cddf4c41b815b9f41a63107a949b6ff353af7d72840ec46a300,c969074ecf48f69223e14de7a449d916d3a1632fc6e7bf640e793d4b36605ad0,2024-12-28,0.342518820946086,0.45223113360279427,0.7196626226205087,60,60,1951,mean,quarter,,YetiRankPairwise,False
2025-04-01,rank_qtr_mean_full_pair,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,0.07714851600964509,0.4931394009133172,0.9486535603528686,65,65,2055,mean,quarter,,PairLogit,False
2025-04-01,rank_qtr_mean_roll3_pair,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,0.08525797573250027,0.5073629397520204,0.9502529530293303,60,60,1921,mean,quarter,1095.0,PairLogit,False
2025-04-01,rank_month_mean_full_pair,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,0.14779599563338228,0.7736049882938495,0.9895810424100698,190,190,2055,mean,month,,PairLogit,False
2025-04-01,rank_qtr_y20_full_pair,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,0.047114767716320616,0.6240502299628067,0.9823330227107339,65,60,1987,y20,quarter,,PairLogit,False
2025-04-01,rank_qtr_mean_full_yeti,3895,2055,295,235e041b160e01f1f55d17e7250975abf600e6a7a83a9ca9d564fc9b5bc2cc7c,7e31afd12bff6ca9e88e661b057a146ca8de03a95b905efc96581427a6316e69,2025-03-28,0.3531606898057989,0.4528480219089377,0.7238192161813573,65,65,2055,mean,quarter,,YetiRankPairwise,False
2025-07-01,rank_qtr_mean_full_pair,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,0.004624018350114701,0.445004806971437,0.9204197210841977,70,70,2177,mean,quarter,,PairLogit,False
2025-07-01,rank_qtr_mean_roll3_pair,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,0.006144183895374362,0.4277272714902651,0.8983363670959713,60,60,1931,mean,quarter,1095.0,PairLogit,False
2025-07-01,rank_month_mean_full_pair,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,0.003760997220596386,0.4508217605453884,0.9713661495612333,205,205,2177,mean,month,,PairLogit,False
2025-07-01,rank_qtr_y20_full_pair,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,0.006330876182072797,0.4864143590825456,0.9534600668752563,70,66,2114,y20,quarter,,PairLogit,False
2025-07-01,rank_qtr_mean_full_yeti,4190,2177,330,2af81122226501402aea1a27f69afaad929ff891d47ca3864ac428655e35f9ee,426a97a037e35f2b78df7ecc6f3fb21703a0ea600aae4cfa379bd0a11ae10e29,2025-06-27,0.3266748853016113,0.44895166429360545,0.711292408333705,70,70,2177,mean,quarter,,YetiRankPairwise,False
2025-10-01,rank_qtr_mean_full_pair,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,0.0365942975706035,0.42137357096194494,0.9361244539592485,75,75,2354,mean,quarter,,PairLogit,False
2025-10-01,rank_qtr_mean_roll3_pair,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,0.06720513815313944,0.4644753108324752,0.934631716554618,60,60,1933,mean,quarter,1095.0,PairLogit,False
2025-10-01,rank_month_mean_full_pair,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,0.032984966871941315,0.5438651202542231,0.9882164275818136,220,220,2354,mean,month,,PairLogit,False
2025-10-01,rank_qtr_y20_full_pair,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,0.030239459137968237,0.4995431066966245,0.9829047928763259,75,73,2307,y20,quarter,,PairLogit,False
2025-10-01,rank_qtr_mean_full_yeti,4515,2354,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,11797b5f4590d1a236166f59b6733284948c0a107ceab502e9a012b20e6899e6,2025-09-26,0.3424229999321137,0.45729559878860737,0.7403102447230147,75,75,2354,mean,quarter,,YetiRankPairwise,False
2026-01-01,rank_qtr_mean_full_pair,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,0.014866835790672408,0.4886939145119923,0.9265182597149529,80,80,2515,mean,quarter,,PairLogit,False
2026-01-01,rank_qtr_mean_roll3_pair,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,0.015159481275286634,0.4905143736255908,0.9075496839183328,60,60,1897,mean,quarter,1095.0,PairLogit,False
2026-01-01,rank_month_mean_full_pair,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,0.004379246290909484,0.5018631066707938,0.9827060398893823,236,235,2514,mean,month,,PairLogit,False
2026-01-01,rank_qtr_y20_full_pair,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,0.01708549049894599,0.580791186232674,0.9845701773835257,80,78,2468,y20,quarter,,PairLogit,False
2026-01-01,rank_qtr_mean_full_yeti,4840,2515,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,2a96019f8bb71c578de46d66aa31aef79cdf467f8925b272ab17a5cdb966504b,2025-12-29,0.3408967441301016,0.4563548075762647,0.7288628015023589,80,80,2515,mean,quarter,,YetiRankPairwise,False
2026-04-01,rank_qtr_mean_full_pair,5110,2637,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,951f93f91da783bab8b12f619007a2ce4f207eb82d65470d88e82393a034f330,2026-03-27,0.07667494368891124,0.49153365580359043,0.931530044656237,85,85,2637,mean,quarter,,PairLogit,False
