candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity,min_train_date
cutoff_1130,10,2026-01-01,4725,1090,0.22207844918794592,270,False,-1.4307818648335116,"[0.3825428456107638, 0.1808487691737138, -0.06420018040260217, 0.01741300986459694, 0.0917190830207976, -0.2011258605723709]",2025-12-27,2022-02-24
cutoff_1130,10,2026-04-01,5000,1154,0.22367733162132064,310,False,-1.4242445531833983,"[0.397096238788886, 0.12911133235121275, -0.03823316054593106, -0.010480302265518451, 0.06875463759606189, -0.14648229287819334]",2026-03-28,2022-02-24
cutoff_1130,10,2026-07-01,5310,1191,0.2126969339877477,230,False,-1.241873027964084,"[0.39214150562520744, -0.11468692096277443, -0.27027258926468145, -0.24382030311598404, -0.1701736137609176, -0.40771704771116896]",2026-06-27,2022-02-24
cutoff_1130,20,2023-01-01,965,113,0.12245573646407851,280,False,-2.1558409270794847,"[0.21028495110752887, 0.24571819856071125, -0.12454908027954924, 0.04002233490930156, 0.08193344717358672, -0.24573113039133337]",2022-12-29,2022-02-24
cutoff_1130,20,2023-04-01,1245,243,0.20986005502683153,305,False,-1.463708597273288,"[0.19862332021204854, -0.012567537054273627, 0.024057784385769616, -0.06425569042903864, 0.17592606105248831, -0.11485358050866898]",2023-03-29,2022-02-24
cutoff_1130,20,2023-07-01,1550,327,0.22531130055789078,330,False,-1.3779558241150225,"[0.23768727806470313, 0.0145821208986954, -0.0002923214727239094, -0.07027374097267708, 0.15330818970913568, -0.10319688046416953]",2023-06-28,2022-02-24
cutoff_1130,20,2023-10-01,1880,440,0.24987201194600997,320,False,-1.2329873007662273,"[0.24477961657714542, 0.022815273803215227, -0.13727028753296366, 0.050280405399663886, 0.24342633940470487, -0.17826954641478415]",2023-09-28,2022-02-24
cutoff_1130,20,2024-01-01,2205,462,0.21588882116776972,285,False,-1.433101236585084,"[0.2873603921394441, 0.029455108088849873, -0.11305401516956623, 0.055262356013718775, 0.19588003360731016, -0.16868375221543516]",2023-12-29,2022-02-24
cutoff_1130,20,2024-04-01,2490,501,0.20397528026675507,300,False,-1.527808328974413,"[0.33842687356087225, 0.034270669777986956, -0.11230311953773792, 0.05618188691425039, 0.16554150011192192, -0.12487295319882682]",2024-03-29,2022-02-24
cutoff_1130,20,2024-07-01,2790,543,0.1939245119950186,325,False,-1.5757864560730888,"[0.3456271164399783, 0.023206489752116803, -0.1930749835307282, 0.058754428023231095, 0.21612814985787493, -0.09729675018360143]",2024-06-28,2022-02-24
