policy,history,first,second,fallback,fallback_weekday,cap,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
h20_f80_s88_b50_d3,20,0.8,0.88,0.5,3,2,20,1.345972935813011,0.18888737014762164,1.3435351002340064,27.604870426480506,71.670764233752,295
h20_f80_s88_b50_d4,20,0.8,0.88,0.5,4,2,1,1.4188746320057768,0.5437658571946358,1.418500548128164,3.372060066191664,46.909113910726845,267
h20_f80_s88_b50_d4,20,0.8,0.88,0.5,4,2,3,1.5753002771789342,0.39229189319801866,1.5697912178462876,13.215351344768466,56.451432958765835,267
h20_f80_s88_b50_d4,20,0.8,0.88,0.5,4,2,5,1.5607927155865022,0.33834722725625227,1.5464037124604826,19.99661775320742,61.79256902331583,267
h20_f80_s88_b50_d4,20,0.8,0.88,0.5,4,2,10,1.4167460095211426,0.2696478192581853,1.4012707705061405,22.17754728836726,66.67530272223837,267
h20_f80_s88_b50_d4,20,0.8,0.88,0.5,4,2,20,1.3882447021191522,0.18885163706657002,1.3842005654348815,34.2241041218189,87.02340616053009,267
h20_f80_s88_b60_d3,20,0.8,0.88,0.6,3,2,1,1.3948696383515562,0.5440402653854952,1.3904469534458248,2.8561548921240543,42.09302437210164,282
h20_f80_s88_b60_d3,20,0.8,0.88,0.6,3,2,3,1.507900677200903,0.39273049645390073,1.5000244337853872,12.02383803561866,46.769761374002734,282
h20_f80_s88_b60_d3,20,0.8,0.88,0.6,3,2,5,1.5174276310237151,0.33885266529398306,1.5015860392001976,19.80243912076916,53.364078326702604,282
h20_f80_s88_b60_d3,20,0.8,0.88,0.6,3,2,10,1.443921028952522,0.27014699153511784,1.4312884403638289,23.44083367974615,64.70935654507615,282
h20_f80_s88_b60_d3,20,0.8,0.88,0.6,3,2,20,1.406746331871124,0.1890585678334477,1.4074303208218408,32.03308368451454,82.69478271825014,282
h20_f80_s88_b60_d4,20,0.8,0.88,0.6,4,2,1,1.4425280703785164,0.5442918346774193,1.440668371090632,3.7853050061200966,49.28096086730166,256
h20_f80_s88_b60_d4,20,0.8,0.88,0.6,4,2,3,1.6100669258205422,0.39303490423387105,1.6029151433486155,14.240207045801895,59.13510163145274,256
h20_f80_s88_b60_d4,20,0.8,0.88,0.6,4,2,5,1.6121842496285288,0.3392137096774194,1.5949244717060194,20.894311583825186,64.40267243379213,256
h20_f80_s88_b60_d4,20,0.8,0.88,0.6,4,2,10,1.4587385708461942,0.27046055947580644,1.4402605499921575,23.222871671996227,70.82244093869345,256
h20_f80_s88_b60_d4,20,0.8,0.88,0.6,4,2,20,1.444139422676982,0.1893428679435484,1.445968930699077,35.96441097954056,93.5913000092406,256
h20_f80_s88_b70_d3,20,0.8,0.88,0.7,3,2,1,1.4418604651162792,0.544338773936512,1.438531498388398,3.0586881740920475,48.17233539668388,251
h20_f80_s88_b70_d3,20,0.8,0.88,0.7,3,2,3,1.631179017893619,0.3932335175427322,1.6237242962398775,15.335013925712651,62.09173276510662,251
h20_f80_s88_b70_d3,20,0.8,0.88,0.7,3,2,5,1.620147699299375,0.33935226834597093,1.6013403890800917,22.826921858007044,69.3171052330515,251
h20_f80_s88_b70_d3,20,0.8,0.88,0.7,3,2,10,1.5160543652442284,0.2706753630638735,1.5023222153090015,26.499987881620328,79.85065574685609,251
h20_f80_s88_b70_d3,20,0.8,0.88,0.7,3,2,20,1.473559120617944,0.18925909266161164,1.4846246516649073,37.528809440593854,100.81977205615065,251
h20_f80_s88_b70_d4,20,0.8,0.88,0.7,4,2,1,1.4527574589492216,0.5444705182443151,1.4521715364738776,3.726390412841081,51.16956249118953,244
