origin,family,n_shared_train,n_eligible_train,n_query,shared_mask_sha256,train_mask_sha256,last_shared_mature20,correction_mean,correction_abs_mean,correction_max_abs,local_counts
2025-10-01,resid_hist50,4515,2113,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,17eb385001ea553875e6cb7f92ee75f930a540f04ff652e45c765b0063f3818b,2025-09-26,-0.09336437467182875,0.11266761483705265,0.3228119359925878,
2025-10-01,resid_ridge,4515,2113,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,17eb385001ea553875e6cb7f92ee75f930a540f04ff652e45c765b0063f3818b,2025-09-26,-0.18743652955239948,0.19408986404418488,0.6244837578030897,
2025-10-01,local_resid_ridge,4515,2113,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,17eb385001ea553875e6cb7f92ee75f930a540f04ff652e45c765b0063f3818b,2025-09-26,-0.1599886778534887,0.1672712893709078,0.6690718306126098,"{""AMD"": 430, ""KGS"": 421, ""KZT"": 406, ""TJS"": 436, ""UZS"": 420}"
2025-10-01,stack_logit,4515,2113,320,7a5e13c81b9c1786ea6096d0c038b76b7254e6bfe6524e59fd34ec965492422b,17eb385001ea553875e6cb7f92ee75f930a540f04ff652e45c765b0063f3818b,2025-09-26,,,,
2026-01-01,full_recent50,4840,2274,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,dcfb5014ee5fbfd90d82079fdbce653342b0ba15f33689a28983eba0772e62d5,2025-12-29,,,,
2026-01-01,resid_hist100,4840,2274,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,dcfb5014ee5fbfd90d82079fdbce653342b0ba15f33689a28983eba0772e62d5,2025-12-29,-0.19245815939163752,0.21047172353748947,0.6136054206771363,
2026-01-01,resid_hist50,4840,2274,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,dcfb5014ee5fbfd90d82079fdbce653342b0ba15f33689a28983eba0772e62d5,2025-12-29,-0.09622907969581876,0.10523586176874473,0.30680271033856815,
2026-01-01,resid_ridge,4840,2274,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,dcfb5014ee5fbfd90d82079fdbce653342b0ba15f33689a28983eba0772e62d5,2025-12-29,-0.20089137883560568,0.20737797689419024,0.8150890911264306,
2026-01-01,local_resid_ridge,4840,2274,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,dcfb5014ee5fbfd90d82079fdbce653342b0ba15f33689a28983eba0772e62d5,2025-12-29,-0.18306620261454845,0.19093305132130658,1.019566387697193,"{""AMD"": 463, ""KGS"": 451, ""KZT"": 439, ""TJS"": 468, ""UZS"": 453}"
2026-01-01,stack_logit,4840,2274,275,3f20bf038598355dee33fbf6c0c5edefc5ee7f10ebecbc8295fdbc5f77ba7824,dcfb5014ee5fbfd90d82079fdbce653342b0ba15f33689a28983eba0772e62d5,2025-12-29,,,,
2026-04-01,full_recent50,5110,2396,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,f017019da6123a8b6969e78ab8ac79520fe07718bfeb3750067a81ab683d9f2c,2026-03-27,,,,
2026-04-01,resid_hist100,5110,2396,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,f017019da6123a8b6969e78ab8ac79520fe07718bfeb3750067a81ab683d9f2c,2026-03-27,-0.1364261640704549,0.15765900113363568,0.45406817397252747,
2026-04-01,resid_hist50,5110,2396,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,f017019da6123a8b6969e78ab8ac79520fe07718bfeb3750067a81ab683d9f2c,2026-03-27,-0.06821308203522745,0.07882950056681784,0.22703408698626373,
2026-04-01,resid_ridge,5110,2396,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,f017019da6123a8b6969e78ab8ac79520fe07718bfeb3750067a81ab683d9f2c,2026-03-27,-0.18867808371851805,0.1940549502518033,0.857211348784807,
2026-04-01,local_resid_ridge,5110,2396,310,d7955502748c2ff9e0b09f56c7bb090bf24d1cf41c83e93e3cab3d8af5a63d40,f017019da6123a8b6969e78ab8ac79520fe07718bfeb3750067a81ab683d9f2c,2026-03-27,-0.17754034304693322,0.18334284698407988,0.9625313854807018,"{""AMD"": 489, ""KGS"": 473, ""KZT"": 466, ""TJS"": 490, ""UZS"": 478}"
