candidate,period,h,n,brier,mean_probability,event_rate
local365_survival_hist,later,10,3235,0.16865984189627092,0.20035613426419385,0.22812982998454404
local365_survival_hist,later,20,3185,0.13772488169018754,0.13998830097996656,0.16577708006279435
local365_survival_logit,early,1,1135,0.24480148816988206,0.5721119818582806,0.5744493392070484
local365_survival_logit,early,3,1135,0.2526073584268444,0.42857594869516935,0.45198237885462555
local365_survival_logit,early,5,1135,0.24401458754796726,0.36271572051488227,0.3894273127753304
local365_survival_logit,early,10,1135,0.22607743597662128,0.2963920367864066,0.31541850220264317
local365_survival_logit,early,20,1135,0.21119696825787088,0.24464786955330026,0.2669603524229075
local365_survival_logit,later,1,3280,0.22790385034341393,0.5123347363737918,0.5161585365853658
local365_survival_logit,later,3,3270,0.21261383130815942,0.34835407158363646,0.354434250764526
local365_survival_logit,later,5,3260,0.19837731236867354,0.2866916885049533,0.294478527607362
local365_survival_logit,later,10,3235,0.17245755729919793,0.20641407300483805,0.22812982998454404
local365_survival_logit,later,20,3185,0.13860065758535084,0.14222263423028525,0.16577708006279435
local365_survival_local,early,1,1135,0.24880353530788496,0.5740757517124003,0.5744493392070484
local365_survival_local,early,3,1135,0.2570540516312018,0.43316076044378954,0.45198237885462555
local365_survival_local,early,5,1135,0.24764486915454834,0.3756360259649794,0.3894273127753304
local365_survival_local,early,10,1135,0.23234844077961153,0.3143358205977785,0.31541850220264317
local365_survival_local,early,20,1135,0.21830960064079719,0.2668863483735993,0.2669603524229075
local365_survival_local,later,1,3280,0.2410606656981849,0.5059820358920789,0.5161585365853658
local365_survival_local,later,3,3270,0.2247625268748987,0.3506635008508456,0.354434250764526
local365_survival_local,later,5,3260,0.2081345874365023,0.2897202256991375,0.294478527607362
local365_survival_local,later,10,3235,0.17962749899456923,0.21054463219433844,0.22812982998454404
local365_survival_local,later,20,3185,0.1444486237878094,0.14642694950944402,0.16577708006279435
isotonic_cny,early,1,1135,0.19752654743124687,0.5939109553796327,0.5744493392070484
