candidate,min_lift,mean_lift,min_rate,max_rate,min_forward,min_symmetric,cadence_penalty,selection_value,min_benefit_lower_ci,max_weekly_signals,early_forward_ratio_min,joint_early_pass
cny50_hedge_global_h252_e10_urgent_cap2,1.3121770355881237,1.3438725834321326,1.4128440366972477,1.45565749235474,53.06946859369673,18.208597211386174,0.0,0.8522424600640722,-22.996728776202573,2,0.8152874787461841,False
hedge_global_h252_e30_urgent_cap2,1.2825167091407415,1.3333224978451803,1.3272171253822629,1.3914373088685015,49.93355744918907,17.510206101243625,0.0,0.8161224331027557,-23.31971380189929,2,0.8185042683437741,False
cny50_hedge_global_h252_e30_urgent_cap2,1.30545165513372,1.3333993052572963,1.3700305810397553,1.4342507645259939,52.920584278708425,17.830837641719395,0.0,0.8305250156636164,-23.74633197350519,2,0.855318650610697,False
hedge_local_h63_e2_urgent_cap2,1.3128878518592064,1.3504965159614155,1.2629969418960245,1.348623853211009,52.1701579922166,18.20044853468254,0.0,0.9399089524807586,-18.648944968922393,2,0.798568489395695,False
hedge_local_h63_e10_urgent_cap2,1.329274268633312,1.36475407640127,1.2844036697247707,1.3914373088685015,53.10483184433209,18.659089152863505,0.0,0.9143109596352097,-20.74816544990512,2,0.8136038980708729,False
hedge_local_h63_e30_urgent_cap2,1.282790388450945,1.347807623200063,1.348623853211009,1.3914373088685015,50.26043342693984,17.305472118736525,0.0,0.875406915580476,-20.36917364352345,2,0.8355244517028431,False
hedge_local_h252_e2_urgent_cap2,1.3128878518592064,1.3504965159614155,1.2629969418960245,1.348623853211009,52.1701579922166,18.20044853468254,0.0,0.9399089524807586,-18.648944968922393,2,0.798568489395695,False
hedge_local_h252_e10_urgent_cap2,1.3224276092620815,1.366999441450842,1.2844036697247707,1.3700305810397553,53.89325532503801,18.84840245159841,0.0,0.9286454717499535,-19.689106875606402,2,0.8138608661446532,False
hedge_local_h252_e30_urgent_cap2,1.2812484924501906,1.3342086426566246,1.3272171253822629,1.3914373088685015,49.87787028154603,17.1224355980788,0.0,0.8664601437415076,-20.739417435434152,2,0.8258887260040023,False
frozen_weights2023_urgent_cap2,1.3155363748458693,1.3566277097287478,1.2844036697247707,1.348623853211009,53.101598825597684,18.280914147604353,0.0,0.8629262180256524,-22.630507841010843,2,0.810346037536564,False
