candidate,h,metric,mean_bps,ci_lo,ci_hi,n
cal_local365_cny_urgent_cap2,5,forward,52.34448273013759,30.019588135509792,73.53088548078468,938
cal_local365_cny_urgent_cap2,10,sym,34.39227225968152,18.17941301940348,50.09348770439546,933
cal_local365_cny_urgent_cap2,10,forward,49.16912739345432,12.180767616827183,83.26322913067693,933
cal_local365_cny_urgent_cap2,20,sym,37.02742510054083,3.763964627348798,68.89561104625498,918
cal_local365_cny_urgent_cap2,20,forward,39.22367716230716,-29.330918794933634,101.35068341302551,918
cal_local365_hist_urgent_cap2,1,sym,17.956829896516982,13.80704613383475,22.707348082238937,873
cal_local365_hist_urgent_cap2,1,forward,48.51838767073739,38.46065223813753,58.1973586428968,873
cal_local365_hist_urgent_cap2,3,sym,30.875306462785662,24.34812969524754,38.24893757615003,869
cal_local365_hist_urgent_cap2,3,forward,55.152379350191275,38.55267483425624,70.89728396326748,869
cal_local365_hist_urgent_cap2,5,sym,35.14417505134804,26.89083100455684,44.164595290663705,868
cal_local365_hist_urgent_cap2,5,forward,57.145792343531184,34.122602193783614,78.58131613789965,868
cal_local365_hist_urgent_cap2,10,sym,39.622607766801664,25.662318235621196,52.78600664003437,863
cal_local365_hist_urgent_cap2,10,forward,57.146873122386815,18.395154207069027,90.9383746676435,863
cal_local365_hist_urgent_cap2,20,sym,49.041779848340404,21.304139878322317,75.62066165876102,849
cal_local365_hist_urgent_cap2,20,forward,56.12386902757711,-13.557460407876565,116.39514267170702,849
cal_local365_extra_urgent_cap2,1,sym,17.87625612989737,13.54612191589476,22.51717516124178,867
cal_local365_extra_urgent_cap2,1,forward,53.10062118341091,44.259938472795916,62.52300963616455,867
cal_local365_extra_urgent_cap2,3,sym,27.59801470212388,21.512396969620433,33.897554530770805,867
cal_local365_extra_urgent_cap2,3,forward,60.156881007486845,44.59063493803428,75.24595810995199,867
cal_local365_extra_urgent_cap2,5,sym,31.835724089667046,24.036324866680044,39.7947973471096,862
cal_local365_extra_urgent_cap2,5,forward,62.65291349468195,40.38245891428151,84.03995137871637,862
cal_local365_extra_urgent_cap2,10,sym,37.44395876543996,23.62266620173765,51.26547140282437,857
cal_local365_extra_urgent_cap2,10,forward,62.84177148940827,22.85087437691832,98.97076438434306,857
cal_local365_extra_urgent_cap2,20,sym,44.4710111125476,16.19445087403587,73.53312420889965,842
cal_local365_extra_urgent_cap2,20,forward,57.79730621807983,-13.771230536416795,119.5790396944312,842
cal_local365_survival_hist_urgent_cap2,1,sym,17.23531575228928,12.867555350334987,21.903220926985536,858
cal_local365_survival_hist_urgent_cap2,1,forward,45.071174773045456,34.4078250199569,56.01015028780705,858
cal_local365_survival_hist_urgent_cap2,3,sym,29.641665891290653,23.047635973184292,36.968600832036444,856
cal_local365_survival_hist_urgent_cap2,3,forward,51.60599903523914,34.379672679527324,67.9467966566169,856
cal_local365_survival_hist_urgent_cap2,5,sym,34.25107618519187,25.847626928582002,43.17431876745713,853
cal_local365_survival_hist_urgent_cap2,5,forward,53.16143687941591,29.331896562897594,76.39927735412176,853
cal_local365_survival_hist_urgent_cap2,10,sym,40.192913941152305,25.810419509838653,53.60527492516894,848
cal_local365_survival_hist_urgent_cap2,10,forward,54.396521634456526,12.173267365069913,91.69560544798689,848
cal_local365_survival_hist_urgent_cap2,20,sym,49.58965897223118,23.095937040047385,77.07647807739787,836
cal_local365_survival_hist_urgent_cap2,20,forward,51.61025800083693,-18.938879298694754,115.25751761153795,836
cal_local365_survival_logit_urgent_cap2,1,sym,15.027327675605553,10.860739870445167,19.480687789259626,717
