date,currency,router_equal_logit,router_equal_hist,router_equal_tree,router_tail_logit,router_tail_hist,router_tail_tree,router_equal_logit_stale20
2013-02-02,TJS,,,,,,,
2013-02-05,TJS,,,,,,,
2013-02-06,TJS,,,,,,,
2013-02-07,TJS,,,,,,,
2013-02-08,TJS,,,,,,,
2013-02-09,TJS,,,,,,,
2013-02-12,TJS,,,,,,,
2013-02-13,TJS,,,,,,,
2013-02-14,TJS,,,,,,,
2013-02-15,TJS,,,,,,,
2013-02-16,TJS,,,,,,,
2013-02-19,TJS,,,,,,,
2013-02-20,TJS,,,,,,,
2013-02-21,TJS,,,,,,,
2013-02-22,TJS,,,,,,,
2013-02-23,TJS,,,,,,,
2013-02-26,TJS,,,,,,,
2013-02-27,TJS,,,,,,,
2013-02-28,TJS,,,,,,,
2013-03-01,TJS,,,,,,,
2013-03-02,TJS,,,,,,,
2013-03-05,TJS,,,,,,,
2013-03-06,TJS,,,,,,,
2013-03-07,TJS,,,,,,,
2013-03-08,TJS,,,,,,,
2013-03-12,TJS,,,,,,,
2013-03-13,TJS,,,,,,,
2013-03-14,TJS,,,,,,,
2013-03-15,TJS,,,,,,,
2013-03-16,TJS,,,,,,,
2013-03-19,TJS,,,,,,,
2013-03-20,TJS,,,,,,,
2013-03-21,TJS,,,,,,,
2013-03-22,TJS,,,,,,,
2013-03-23,TJS,,,,,,,
2013-03-26,TJS,,,,,,,
2013-03-27,TJS,,,,,,,
2013-03-28,TJS,,,,,,,
2013-03-29,TJS,,,,,,,
2013-03-30,TJS,,,,,,,
2013-04-02,TJS,,,,,,,
2013-04-03,TJS,,,,,,,
2013-04-04,TJS,,,,,,,
2013-04-05,TJS,,,,,,,
2013-04-06,TJS,,,,,,,
2013-04-09,TJS,,,,,,,
2013-04-10,TJS,,,,,,,
2013-04-11,TJS,,,,,,,
2013-04-12,TJS,,,,,,,
2013-04-13,TJS,,,,,,,
2013-04-16,TJS,,,,,,,
2013-04-17,TJS,,,,,,,
2013-04-18,TJS,,,,,,,
2013-04-19,TJS,,,,,,,
2013-04-20,TJS,,,,,,,
2013-04-23,TJS,,,,,,,
2013-04-24,TJS,,,,,,,
2013-04-25,TJS,,,,,,,
2013-04-26,TJS,,,,,,,
2013-04-27,TJS,,,,,,,
2013-04-30,TJS,,,,,,,
2013-05-01,TJS,,,,,,,
2013-05-07,TJS,,,,,,,
2013-05-08,TJS,,,,,,,
2013-05-09,TJS,,,,,,,
2013-05-14,TJS,,,,,,,
2013-05-15,TJS,,,,,,,
2013-05-16,TJS,,,,,,,
2013-05-17,TJS,,,,,,,
2013-05-18,TJS,,,,,,,
2013-05-21,TJS,,,,,,,
2013-05-22,TJS,,,,,,,
2013-05-23,TJS,,,,,,,
2013-05-24,TJS,,,,,,,
2013-05-25,TJS,,,,,,,
2013-05-28,TJS,,,,,,,
2013-05-29,TJS,,,,,,,
2013-05-30,TJS,,,,,,,
2013-05-31,TJS,,,,,,,
2013-06-01,TJS,,,,,,,
2013-06-04,TJS,,,,,,,
2013-06-05,TJS,,,,,,,
2013-06-06,TJS,,,,,,,
2013-06-07,TJS,,,,,,,
2013-06-08,TJS,,,,,,,
2013-06-11,TJS,,,,,,,
2013-06-12,TJS,,,,,,,
2013-06-14,TJS,,,,,,,
2013-06-15,TJS,,,,,,,
2013-06-18,TJS,,,,,,,
2013-06-19,TJS,,,,,,,
2013-06-20,TJS,,,,,,,
2013-06-21,TJS,,,,,,,
2013-06-22,TJS,,,,,,,
2013-06-25,TJS,,,,,,,
2013-06-26,TJS,,,,,,,
2013-06-27,TJS,,,,,,,
2013-06-28,TJS,,,,,,,
2013-06-29,TJS,,,,,,,
2013-07-02,TJS,,,,,,,
2013-07-03,TJS,,,,,,,
2013-07-04,TJS,,,,,,,
2013-07-05,TJS,,,,,,,
2013-07-06,TJS,,,,,,,
2013-07-09,TJS,,,,,,,
2013-07-10,TJS,,,,,,,
2013-07-11,TJS,,,,,,,
2013-07-12,TJS,,,,,,,
2013-07-13,TJS,,,,,,,
2013-07-16,TJS,,,,,,,
2013-07-17,TJS,,,,,,,
2013-07-18,TJS,,,,,,,
2013-07-19,TJS,,,,,,,
2013-07-20,TJS,,,,,,,
2013-07-23,TJS,,,,,,,
2013-07-24,TJS,,,,,,,
2013-07-25,TJS,,,,,,,
2013-07-26,TJS,,,,,,,
2013-07-27,TJS,,,,,,,
2013-07-30,TJS,,,,,,,
2013-07-31,TJS,,,,,,,
