candidate,h,origin,n_train,n_positive,weighted_prior,n_query,constant_prediction,intercept,coefficients,last_target_maturity
update_1630,10,2025-10-01,18136,3502,0.21933013494349876,325,False,-1.0834200457888319,"[0.005861748007761115, -0.06836487104912956, -0.28793424741231144, -0.20139230184745993, -0.11167335055429511, -0.3930022780287251]",2025-09-27
update_1630,10,2026-01-01,18456,3543,0.21157253811725008,270,False,-1.3740949057887977,"[0.013609626176650066, 0.13927876854833987, -0.05818219257364612, 0.005464601961727118, 0.0897685119604252, -0.14777044339682474]",2025-12-27
update_1630,10,2026-04-01,18731,3607,0.21357173813822478,310,False,-1.132606058613168,"[0.014959431394239154, -0.12235703286444977, -0.26623574843771647, -0.23933980848455447, -0.15184890031030124, -0.3375094491603132]",2026-03-28
update_1630,10,2026-07-01,19041,3644,0.2058679036174993,230,False,-1.4166131155640265,"[0.020659074131130013, 0.09969428934583346, -0.033714918228741106, -0.009593691517417366, 0.07044719960528116, -0.13149204707288786]",2026-06-27
update_1630,20,2023-01-01,14696,1893,0.12912899709382752,280,False,-2.049018297462234,"[0.013398571781259862, 0.10536785114765826, -0.06621117406938662, -0.02923610560980781, 0.10661274330682712, -0.1189705508066822]",2022-12-29
update_1630,20,2023-04-01,14976,2023,0.15484542211269922,305,False,-1.2298631033651317,"[-0.025436769273701088, -0.2093912739777027, -0.26350734088567557, -0.2961915449130241, -0.10489271528650361, -0.33383283274912356]",2023-03-29
update_1630,20,2023-07-01,15281,2107,0.1649779625116622,330,False,-1.1464010987797422,"[-0.031084730878345644, -0.186370224994869, -0.25213030170434997, -0.2823281552266373, -0.09496374659621044, -0.31296125430364935]",2023-06-28
update_1630,20,2023-10-01,15611,2220,0.18061936495574674,320,False,-1.2357219496892329,"[-0.03899852444441472, 0.04194337922828863, -0.09151480277562887, 0.006616070066431144, 0.1782633134090524, -0.12731528123009234]",2023-09-28
update_1630,20,2024-01-01,15936,2242,0.1708291098512276,285,False,-1.4109514557486094,"[-0.025030536053955617, 0.03915677320889018, -0.08669469928529876, 0.005584235913531782, 0.14869671472205342, -0.12938459858718085]",2023-12-29
update_1630,20,2024-04-01,16221,2281,0.16826772704539047,300,False,-1.2399522241040748,"[-0.018729390203625674, -0.20254000885155193, -0.3281168654710902, -0.2339732614883555, -0.105193192612158, -0.3471609022223154]",2024-03-29
update_1630,20,2024-07-01,16521,2323,0.16566791116879262,325,False,-1.5368503319548588,"[-0.014022799042182356, 0.032535760962298765, -0.13634919233003284, 0.013216972722084276, 0.16566521559083974, -0.09107032104901575]",2024-06-28
update_1630,20,2024-10-01,16851,2360,0.16096755399927334,330,False,-1.3602756925212323,"[-0.005381984985319705, -0.2460138980378741, -0.3924559799862868, -0.20462962576574198, -0.10009921884621097, -0.3840922607440487]",2024-09-28
update_1630,20,2025-01-01,17181,2476,0.1775124355030699,285,False,-1.4773813196535843,"[-0.01247286481871429, 0.024680458129876195, -0.057378091841158246, 0.059855990305126824, 0.1467297124133917, -0.1707429820636726]",2024-12-29
update_1630,20,2025-04-01,17466,2478,0.16428899320314524,295,False,-1.6235448267393313,"[-0.0013251393250686729, 0.01830914269074334, -0.05867842715360494, 0.051644707099760996, 0.14809472872406565, -0.1625528944562242]",2025-03-29
update_1630,20,2025-07-01,17761,2492,0.15496489073221395,330,False,-1.7295883420782465,"[0.006756440389849862, 0.0928622400139308, -0.07761297878576097, 0.03459963161616934, 0.12613792183834613, -0.17599053312594062]",2025-06-28
update_1630,20,2025-10-01,18086,2558,0.15940355854619204,325,False,-1.6918909442974903,"[0.0056803121025164275, 0.1376719022631507, -0.08915698824309412, 0.05183187952334266, 0.12381231220267742, -0.22259191807116596]",2025-09-27
update_1630,20,2026-01-01,18406,2586,0.15305335160097974,270,False,-1.7602166844071452,"[0.011859998987984982, 0.12329085756879232, -0.07069736320910017, 0.03282045041770925, 0.1107538821095059, -0.19332148499977078]",2025-12-27
update_1630,20,2026-04-01,18681,2623,0.15176508921385293,310,False,-1.7764171727678455,"[0.01509025580204496, 0.07915954783459377, -0.03879693052045589, 0.013782782173348327, 0.09775195744186102, -0.1509625198453193]",2026-03-28
update_1630,20,2026-07-01,18991,2658,0.1483508175840196,230,False,-1.8122826283646356,"[0.01904724202940874, 0.08412951438233425, -0.03487770397394606, 0.0026101479647398958, 0.09146882553566978, -0.1426119221335069]",2026-06-27
hold_1730,1,2023-01-01,14791,7343,0.49396714786222473,280,False,-0.17498550100839322,"[0.01890756353734269, 0.0024683775855015152, -0.07793776524943444, -0.017136383176277505, 0.030232213924995692, -0.11027714998588814]",2022-12-29
hold_1730,1,2023-04-01,15071,7514,0.5030474341953913,305,False,-0.07188023288590925,"[0.010841376436262496, 0.013496010867324198, -0.04998459347692676, -0.004474968994870732, 0.06106368053121841, -0.09100840688544923]",2023-03-29
hold_1730,1,2023-07-01,15376,7688,0.508720359362374,330,False,-0.027099175016476816,"[0.008123541480060987, 0.021359672719572405, -0.03691454805797655, -0.000686859119561845, 0.06474270109020465, -0.07531483759025841]",2023-06-28
hold_1730,1,2023-10-01,15706,7892,0.5185086714652714,320,False,0.029633524495350762,"[0.005090029229068262, 0.0368379425677034, -0.03254143263223125, 0.0220888969071744, 0.08701885356517926, -0.08412430429851897]",2023-09-28
hold_1730,1,2024-01-01,16031,8042,0.5134255439670427,285,False,-0.02001493862555452,"[0.011281272782225996, 0.029297755524710006, -0.039315806149721064, 0.010428244648579697, 0.043755524806638926, -0.06395100761382463]",2023-12-29
hold_1730,1,2024-04-01,16316,8201,0.5169928992341541,300,False,-0.0033103401891728963,"[0.011343587628165019, 0.03116089171694179, -0.026695153031307123, 0.013745807330846509, 0.04450406304622324, -0.06598669051686297]",2024-03-29
hold_1730,1,2024-07-01,16616,8341,0.5127673639191027,325,False,-0.04170511364342216,"[0.01737208625101116, 0.016077865517065332, -0.04812863922239284, 0.005462996906957238, 0.04335791561113572, -0.057958190974704414]",2024-06-28
