policy,kind,rate,memory,horizon,case_lift,matched_random_day_rate,macro_corridor_year_lift,symmetric_benefit_bps,future_only_benefit_bps,n_signals
rolling_r28_m015,rolling,0.28,15,5,1.5596978636496257,0.33799745792426367,1.5549428624576653,20.800728485361102,62.23144731474488,368
rolling_r28_m015,rolling,0.28,15,10,1.4815898561326502,0.2696134291725106,1.4734222170670197,25.196465774746557,72.68273114883685,368
rolling_r28_m015,rolling,0.28,15,20,1.4982282892826022,0.18862859396914447,1.494000993308968,34.11072644702727,91.64134166129362,368
rolling_r28_m020,rolling,0.28,20,1,1.4262342731387285,0.5440272883346887,1.4265974724139507,2.5943091059690904,43.567072769668485,357
rolling_r28_m020,rolling,0.28,20,3,1.5271199608666879,0.39252959248215413,1.5299123146239526,14.334093632674609,58.66095836098951,357
rolling_r28_m020,rolling,0.28,20,5,1.588152891735041,0.33864190837625374,1.5866600135956888,22.551801135497875,68.32416347658179,357
rolling_r28_m020,rolling,0.28,20,10,1.4941009120575683,0.26996927803379417,1.4881767816488003,27.908013766101597,82.91644341606984,357
rolling_r28_m020,rolling,0.28,20,20,1.450638653455891,0.18923375801933678,1.456602181310719,34.10118332095303,102.4713487340042,357
rolling_r28_m030,rolling,0.28,30,1,1.4486105742387152,0.5442496493688639,1.449832916281021,2.4100722477752106,45.00328754360744,345
rolling_r28_m030,rolling,0.28,30,3,1.5198881385178356,0.3928588125292192,1.5240673705434495,12.036930610078873,57.4489632211123,345
rolling_r28_m030,rolling,0.28,30,5,1.5560918430669515,0.33901355773726044,1.5501031846788005,18.2607816070245,64.17230116424608,345
rolling_r28_m030,rolling,0.28,30,10,1.502054942677915,0.2701612903225806,1.4922832220253652,19.515935905154482,75.30114604426602,345
rolling_r28_m030,rolling,0.28,30,20,1.5149944465012959,0.1894109396914446,1.5252641347304792,25.98759443412063,101.82648240997389,345
rolling_r28_m040,rolling,0.28,40,1,1.4216524859509354,0.5447113493312353,1.4222393925826196,1.4482310773295348,42.74894473985516,328
rolling_r28_m040,rolling,0.28,40,3,1.5107778819119024,0.3935139653815893,1.5197157659329097,10.83579957504759,55.22634845563059,328
rolling_r28_m040,rolling,0.28,40,5,1.543214789624109,0.33980379622344614,1.543654585199452,16.56283756197084,62.19110766743686,328
rolling_r28_m040,rolling,0.28,40,10,1.4745154994780556,0.2708620180959874,1.471104682470062,18.258033545508933,75.38181473124857,328
rolling_r28_m040,rolling,0.28,40,20,1.606009584250745,0.1898357592446892,1.6157062767364327,24.618903324335108,109.83585148942474,328
rolling_r28_m060,rolling,0.28,60,1,1.426387037946272,0.5440495573420169,1.4259794612256544,1.868546768553488,44.17509748984998,317
rolling_r28_m060,rolling,0.28,60,3,1.5101379801774955,0.39271903938129643,1.5179296880772128,7.813551243154917,51.00532432245679,317
