indicator,target,corridor,h,n_scope,n_signals,hit_rate,base_rate,lift,signals_per_week,weekly_max,calendar_gap_max_days,symmetric_bps,future_only_bps,decision_clock,reference,evaluation_period
простое правило: верх диапазона,now_favourable,KGS,1,656,80,0.625,0.4954268292682927,1.2615384615384615,0.5938494167550371,5,284,-10.663890053949505,20.533838044481477,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
простое правило: верх диапазона,now_favourable,AMD,1,656,94,0.6808510638297872,0.524390243902439,1.2983671449777336,0.6977730646871686,6,284,-10.061340984585835,22.543076650403865,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
простое правило: верх диапазона,now_favourable,KZT,1,656,67,0.582089552238806,0.5137195121951219,1.1330882678595156,0.49734888653234355,5,287,-17.16650560639872,12.9035277123519,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
простое правило: верх диапазона,window_closing,TJS,1,657,98,0.5816326530612245,0.5251141552511416,1.1076308784383317,0.7266949152542372,5,231,-12.307248676676108,12.98863496025606,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
простое правило: верх диапазона,window_closing,UZS,1,657,61,0.6885245901639344,0.5190258751902588,1.3265708379404835,0.45233050847457623,5,280,-10.691122207192718,33.645245210416,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
простое правило: верх диапазона,window_closing,KGS,1,657,81,0.6296296296296297,0.4961948249619482,1.268916155419223,0.600635593220339,5,284,-10.663890053949505,20.533838044481477,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
простое правило: верх диапазона,window_closing,AMD,1,657,95,0.6842105263157895,0.5251141552511416,1.302974828375286,0.7044491525423728,6,284,-10.061340984585835,22.543076650403865,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
простое правило: верх диапазона,window_closing,KZT,1,657,68,0.5882352941176471,0.5144596651445966,1.1434041072050123,0.5042372881355932,5,287,-17.16650560639872,12.9035277123519,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
AP37 mature-precision router,now_favourable,TJS,3,654,139,0.8633093525179856,0.37767584097859325,2.2858474354119944,1.0362087326943556,2,37,58.559542238694405,122.84194357262668,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
AP37 mature-precision router,now_favourable,UZS,3,654,137,0.8832116788321168,0.3562691131498471,2.4790576736317784,1.0212992545260917,2,43,65.50752778120062,134.3495538037204,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
AP37 mature-precision router,now_favourable,KGS,3,654,139,0.8633093525179856,0.3486238532110092,2.4763347216963267,1.0362087326943556,2,31,60.19113807452023,119.70127804010413,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
AP37 mature-precision router,now_favourable,AMD,3,654,142,0.8661971830985915,0.35932721712538224,2.41060833083608,1.058572949946752,2,37,60.98285092874659,122.02896784830007,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
AP37 mature-precision router,now_favourable,KZT,3,654,138,0.8043478260869565,0.3302752293577982,2.4353864734299515,1.0287539936102237,2,39,64.67766630031595,122.19164495674654,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
AP37 mature-precision router,window_closing,TJS,3,655,139,0.8705035971223022,0.5312977099236641,1.6384478623997356,1.0351063829787235,2,37,58.559542238694405,122.84194357262668,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
AP37 mature-precision router,window_closing,UZS,3,655,137,0.8905109489051095,0.5129770992366413,1.7359662843239485,1.020212765957447,2,43,65.50752778120062,134.3495538037204,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
AP37 mature-precision router,window_closing,KGS,3,655,139,0.8776978417266187,0.5145038167938931,1.7059112354033688,1.0351063829787235,2,31,60.19113807452023,119.70127804010413,18:30 Europe/Moscow (calendar-assumed receipt),today-effective CBR,2024-01-01..2026-08-31 opened retrospective
