model,slice,group,n,positive_rate,mean_prediction,brier,logloss,ece,baseline_brier,baseline_logloss,baseline_ece,brier_delta,logloss_delta,auc,average_precision,ece_delta_t25,auc_delta_t25,brier_delta_identity,logloss_delta_identity,ece_delta_identity,auc_delta_identity
w30_full,currency,TJS,582,0.15807560137457044,0.14424756181729673,0.13087053619358582,0.4451275224194568,0.08469247734958443,0.12983842731591957,0.42777610656522125,0.037490131258177434,0.001032108877666249,0.017351415854235552,0.5108251996450754,0.3007944202403286,0.047202346091407,-0.06803460514640636,-0.005072817204476193,-0.0008214620260644234,0.0466441564915575,0.06916592724046144
w30_full,currency,UZS,582,0.14776632302405499,0.09915805022959957,0.12005277963640472,0.4139989738135335,0.07807905136231356,0.12746138095773835,0.4294329430787747,0.057639237354838314,-0.007408601321333627,-0.01543396926524121,0.5830598274568642,0.3288903072622805,0.02043981400747525,0.0018520255063766422,-0.010117731675698391,-0.01982892191157809,0.02874154084678296,0.20569204801200303
w30_full,year,2025,1825,0.08712328767123288,0.10771409475941236,0.08059573115665856,0.3031488803057251,0.04127658448982364,0.08063210801862825,0.30432953673112084,0.04771942081596733,-3.637686196968082e-05,-0.0011806564253957208,0.5420092565328017,0.17865061389537498,-0.006442836326143689,0.02246181491464505,-0.011231175635931734,-0.03774190139339295,-0.052129394318623935,0.1616986417208392
w30_full,year,2026,1085,0.22119815668202766,0.12182366664054653,0.17396591800153385,0.574361526887597,0.10803039453330829,0.18151958280556532,0.5730836635050712,0.12725740448871992,-0.007553664804031468,0.001277863382525779,0.5028057199211045,0.336302391576343,-0.019227009955411628,-0.1545857988165681,-0.004926161691496678,0.02086423062720333,0.032894982440843656,0.03160256410256401
w30_full,currency_year,AMD:2025,365,0.0821917808219178,0.1310375654893227,0.07842412751355228,0.29930012307389675,0.05539500592783499,0.0801955181002498,0.3058127176019984,0.06791585892954147,-0.0017713905866975216,-0.006512594528101656,0.5366169154228856,0.23982830772594668,-0.01252085300170648,0.07084577114427865,-0.016506210016812878,-0.05343260189247201,-0.06744683301380135,0.2428855721393035
w30_full,currency_year,AMD:2026,217,0.22119815668202766,0.14143697744345088,0.17508876327815107,0.5615024926119119,0.09334007153360457,0.1755595039670546,0.5421323409417859,0.10920910928536888,-0.0004707406889035426,0.019370151670126012,0.5011094674556213,0.32167328394051176,-0.015869037751764306,-0.19156804733727806,-0.002558819265196993,0.013180027337066691,0.03029284497405943,0.050542406311637145
w30_full,currency_year,KGS:2025,365,0.0821917808219178,0.10543920237596212,0.07766775790195951,0.2968870233114681,0.039552088209190116,0.07927854624238058,0.30354320113588484,0.06211166343921428,-0.0016107883404210682,-0.0066561778244167424,0.5097512437810945,0.14434894067311854,-0.022559575230024165,0.09592039800995023,-0.01579538900266597,-0.05203975227246577,-0.0732889121028936,0.2876616915422885
w30_full,currency_year,KGS:2026,217,0.19815668202764977,0.1187514156279862,0.16117819485135698,0.5335893170451382,0.09857698239407739,0.16412399765114918,0.5198873372612821,0.107554240657143,-0.002945802799792202,0.013701979783856122,0.4660518577920342,0.2884248225931236,-0.008977258263065613,-0.22627639668537824,-0.000833638446402829,0.023577550896977106,0.05188018749199297,0.006281742849505445
w30_full,currency_year,KZT:2025,365,0.049315068493150684,0.0647871026262135,0.04972647240431072,0.21603988439247054,0.02238350727302811,0.050456489411543785,0.2250726837661179,0.01916861586387523,-0.0007300170072330678,-0.009032799373647343,0.35814921549791867,0.03772842119119305,0.003214891409152879,0.12968299711815562,-0.009964417022191835,-0.041136683172607574,-0.07721550147718412,0.14985590778097982
w30_full,currency_year,KZT:2026,217,0.23963133640552994,0.09526562674529129,0.19220843346162733,0.6558504769304184,0.15640779592811496,0.2028473921260011,0.6602617624906275,0.17124479275443305,-0.010638958664373782,-0.004411285560209088,0.5356643356643357,0.3850472419698383,-0.014836996826318088,-0.12447552447552446,-0.0038600108016624834,0.05213432161611797,0.03871956394642892,0.04871794871794877
w30_full,currency_year,TJS:2025,365,0.14246575342465753,0.14525817200967714,0.1255975624784936,0.4305290355613961,0.07872843933509235,0.11915912857523532,0.40265340636645847,0.07892151220985255,0.006438433903258281,0.027875629194937634,0.5108134676824773,0.2665485260731819,-0.0001930728747601973,-0.05529614155812235,-0.001258657658326251,0.00586467186682027,0.03344823797425563,0.12472351929220937
w30_full,currency_year,TJS:2026,217,0.18433179723502305,0.14254768753057384,0.1397398237788792,0.46968258095951276,0.09472415419423695,0.14780130307790004,0.470033182936412,0.07254171089759696,-0.008061479299020846,-0.0003506019768992341,0.4970338983050847,0.34782560194809675,0.022182443296639986,-0.18121468926553674,-0.011488339021733046,-0.012067724103957789,0.06884005630176569,0.00028248587570617323
w30_full,currency_year,UZS:2025,365,0.07945205479452055,0.09204843129588636,0.07156273548497667,0.27298833518939375,0.02624352184346651,0.07407085776373179,0.28456567478514483,0.02484791121401568,-0.0025081222787551177,-0.01157733959575108,0.5826149425287356,0.23747587020061267,0.0013956106294508303,0.10673234811165838,-0.01263120447966179,-0.047965141496240093,-0.06180488257290337,0.23070607553366168
w30_full,currency_year,UZS:2026,217,0.2626728110599078,0.11111662585543056,0.20161437463765466,0.6511827668910039,0.1737371086095241,0.21726571720572166,0.673103693895249,0.17775977726858921,-0.015651342568066995,-0.021920927004245194,0.5495614035087719,0.42733629469129214,-0.004022668659065115,-0.168530701754386,-0.005890000922488092,0.027496977389812494,0.051376399482987806,0.011184210526315796
blend_w30_b010,ALL,ALL,2910,0.13711340206185568,0.10404363537303073,0.11771798509472908,0.40333702951538014,0.03860040495626702,0.11824822834296733,0.40453511320869345,0.033260100469403385,-0.0005302432482382491,-0.001198083693313312,0.5618796094178097,0.22388006187604098,0.005340304486863637,-0.0007106575678543781,-0.006571365889262479,-0.016824566032186072,0.002524627899957277,0.18776431321234183
blend_w30_b010,currency,AMD,582,0.13402061855670103,0.12632350522416627,0.11518049685742401,0.392894585577389,0.017398211323293382,0.11575219324302753,0.39392501702593974,0.012780856753951157,-0.0005716963856035179,-0.0010304314485507504,0.5425824175824175,0.2274713072126087,0.004617354569342225,-0.0006105006105006083,-0.010591150239637526,-0.032764210947294814,-0.0412319535695406,0.2260632885632885
blend_w30_b010,currency,KGS,582,0.1254295532646048,0.10270656319793607,0.11045840648977638,0.38315765950099867,0.04755437374309496,0.11091336231747127,0.384207595533155,0.03671757710061025,-0.00045495582769489173,-0.0010499360321563067,0.5284334042037839,0.1564312719765544,0.010836796642484707,0.0,-0.008563271252151755,-0.025830014626641973,-0.005802603267486217,0.23042764485830391
blend_w30_b010,currency,KZT,582,0.12027491408934708,0.0686003291342026,0.10672672448886115,0.385683337146486,0.05167458495514449,0.10727577788067992,0.3873339038403767,0.051827448861507745,-0.0005490533918187657,-0.0016505666938906871,0.5080636160714286,0.23387665906675661,-0.00015286390636325836,-0.005301339285714302,-0.0038128408819417953,-0.0007012897683881802,0.0330916092613273,0.22257254464285714
blend_w30_b010,currency,TJS,582,0.15807560137457044,0.13227212632630517,0.12955427098641034,0.4281196187607023,0.049343811193555624,0.12983842731591957,0.42777610656522125,0.037490131258177434,-0.0002841563295092331,0.00034351219548106604,0.5705634427684116,0.3303729383734432,0.01185367993537819,-0.008296362023070158,-0.006389082411651675,-0.01782936568481891,0.011295490335528693,0.12890417036379764
blend_w30_b010,currency,UZS,582,0.14776632302405499,0.09031565298254363,0.12667002665117355,0.4268299465913249,0.05745067004151136,0.12746138095773835,0.4294329430787747,0.057639237354838314,-0.0007913543065647954,-0.002602996487449827,0.5857792573143286,0.27683382982375204,-0.00018856731332695525,0.004571455363840959,-0.0035004846609295592,-0.006997949133786707,0.008113159525980754,0.20841147786946734
blend_w30_b010,year,2025,1825,0.08712328767123288,0.10891207150773566,0.08033122775775196,0.3033274228767321,0.05032123195781982,0.08063210801862825,0.30432953673112084,0.04771942081596733,-0.0003008802608762823,-0.0010021138543887531,0.5215029407989611,0.1758457368985979,0.0026018111418524906,0.0019554991808043987,-0.011495679034838335,-0.037563358822385984,-0.043084746850627756,0.14119232598699855
