origin,cadence,kind,endpoint,n_risk,positive_labels,n_recent_records
2023-02-01,month,fine_full20,2,598,125,0
2023-02-01,month,fine_full20,3,473,73,0
2023-02-01,month,fine_full20,4,400,28,0
2023-02-01,month,fine_full20,5,372,34,0
2023-02-01,month,fine_full20,6,338,20,0
2023-02-01,month,fine_full20,7,318,16,0
2023-02-01,month,fine_full20,8,302,13,0
2023-02-01,month,fine_full20,9,289,7,0
2023-02-01,month,fine_full20,10,282,13,0
2023-02-01,month,fine_full20,11,269,14,0
2023-02-01,month,fine_full20,12,255,10,0
2023-02-01,month,fine_full20,13,245,10,0
2023-02-01,month,fine_full20,14,235,4,0
2023-02-01,month,fine_full20,15,231,5,0
2023-02-01,month,fine_full20,16,226,9,0
2023-02-01,month,fine_full20,17,217,6,0
2023-02-01,month,fine_full20,18,211,3,0
2023-02-01,month,fine_full20,19,208,3,0
2023-02-01,month,fine_full20,20,205,1,0
2023-02-01,month,fine_partial,1,1305,655,95
2023-02-01,month,fine_partial,2,645,132,47
2023-02-01,month,fine_partial,3,508,75,35
2023-02-01,month,fine_partial,4,428,30,28
2023-02-01,month,fine_partial,5,393,39,21
2023-02-01,month,fine_partial,6,354,20,16
2023-02-01,month,fine_partial,7,333,17,15
2023-02-01,month,fine_partial,8,316,17,14
2023-02-01,month,fine_partial,9,298,7,9
2023-02-01,month,fine_partial,10,287,13,5
2023-02-01,month,fine_partial,11,269,14,0
2023-02-01,month,fine_partial,12,255,10,0
2023-02-01,month,fine_partial,13,245,10,0
2023-02-01,month,fine_partial,14,235,4,0
2023-02-01,month,fine_partial,15,231,5,0
2023-02-01,month,fine_partial,16,226,9,0
2023-02-01,month,fine_partial,17,217,6,0
2023-02-01,month,fine_partial,18,211,3,0
2023-02-01,month,fine_partial,19,208,3,0
2023-02-01,month,fine_partial,20,205,1,0
2023-03-01,month,direct_full20,5,1300,369,0
2023-03-01,month,direct_mature5,5,1375,423,75
2023-03-01,month,coarse_full20,1,1300,655,0
2023-03-01,month,coarse_full20,3,645,207,0
2023-03-01,month,coarse_full20,5,438,69,0
2023-03-01,month,coarse_full20,10,369,74,0
2023-03-01,month,coarse_full20,20,295,65,0
2023-03-01,month,coarse_partial,1,1395,679,95
2023-03-01,month,coarse_partial,3,709,213,64
